FIPS-Code,Name,Population,All white Christians,White evangelical Protestant,White mainline Protestant,Black Protestant,Hispanic Protestant,White Catholic,Hispanic Catholic,Mormon,Other Christian,Jewish,Muslim,Buddhist,Hindu,Unaffiliated
1001,"Autauga County, AL",56000,59,39,16,14,2,4,0,0,7,0,0,0,0,18
1003,"Baldwin County, AL",223000,70,37,20,5,3,12,2,1,7,0,0,0,0,15
1005,"Barbour County, AL",25000,45,30,10,32,3,4,1,1,5,0,0,0,0,16
1007,"Bibb County, AL",22000,70,53,14,9,0,3,0,0,4,0,0,0,0,16
1009,"Blount County, AL",58000,75,58,15,2,1,2,2,0,5,0,0,0,0,14
1011,"Bullock County, AL",10000,22,13,5,63,1,4,0,0,5,0,0,0,0,10
1013,"Butler County, AL",19000,47,32,10,34,1,5,0,0,8,0,0,0,0,10
1015,"Calhoun County, AL",114000,64,42,16,12,1,6,0,0,6,0,0,0,0,16
1017,"Chambers County, AL",33000,52,38,13,24,1,1,2,0,7,0,0,0,0,14
1019,"Cherokee County, AL",26000,76,55,18,4,0,3,0,0,5,0,0,0,0,15
1021,"Chilton County, AL",44000,70,54,15,7,1,1,1,0,5,0,0,0,0,15
1023,"Choctaw County, AL",13000,48,36,11,36,1,1,0,0,6,0,0,0,0,8
1025,"Clarke County, AL",24000,49,35,12,36,1,2,0,0,6,0,0,0,0,8
1027,"Clay County, AL",13000,67,52,12,13,1,3,0,0,5,0,0,0,0,14
1029,"Cleburne County, AL",15000,77,57,17,3,0,3,1,0,5,0,0,0,0,14
1031,"Coffee County, AL",52000,65,44,16,10,2,4,2,1,8,0,0,0,0,13
1033,"Colbert County, AL",55000,62,42,16,14,2,3,0,1,6,0,0,0,0,16
1035,"Conecuh County, AL",12000,51,37,13,35,1,1,0,0,5,0,0,0,0,8
1037,"Coosa County, AL",11000,62,46,14,21,1,2,0,0,4,0,0,0,0,11
1039,"Covington County, AL",37000,71,56,14,10,1,1,1,0,4,0,0,0,0,12
1041,"Crenshaw County, AL",14000,65,49,15,11,1,1,1,0,7,0,0,0,0,16
1043,"Cullman County, AL",84000,78,62,13,2,0,3,0,0,5,0,0,0,0,15
1045,"Dale County, AL",49000,66,47,14,11,2,4,1,1,6,0,0,0,0,15
1047,"Dallas County, AL",37000,27,18,6,53,2,2,0,1,8,0,0,0,0,11
1049,"DeKalb County, AL",72000,69,53,13,5,2,3,4,0,6,0,0,0,0,15
1051,"Elmore County, AL",81000,65,46,16,11,3,3,1,0,6,0,0,0,0,14
1053,"Escambia County, AL",37000,56,46,10,21,1,0,0,0,9,0,0,0,0,13
1055,"Etowah County, AL",102000,68,48,15,10,2,5,0,0,6,0,0,0,0,14
1057,"Fayette County, AL",16000,76,63,12,6,1,1,0,0,6,0,0,0,0,12
1059,"Franklin County, AL",31000,69,52,14,5,3,2,4,1,3,0,0,0,0,17
1061,"Geneva County, AL",26000,73,54,16,7,1,3,0,0,7,0,0,0,0,12
1063,"Greene County, AL",8100,20,13,4,61,1,3,1,0,8,0,1,0,0,7
1065,"Hale County, AL",15000,34,26,7,49,1,1,0,0,6,0,0,0,0,9
1067,"Henry County, AL",17000,60,38,15,19,1,7,0,0,6,0,0,0,0,14
1069,"Houston County, AL",106000,57,41,14,15,2,1,1,1,7,1,0,0,0,16
1071,"Jackson County, AL",52000,73,56,15,5,0,2,0,0,5,0,0,0,0,17
1073,"Jefferson County, AL",659000,46,28,11,26,2,6,3,1,5,1,1,0,0,17
1075,"Lamar County, AL",14000,77,56,17,5,1,4,0,0,4,0,0,0,0,13
1077,"Lauderdale County, AL",93000,61,44,16,9,2,1,3,0,5,0,0,0,0,20
1079,"Lawrence County, AL",33000,68,55,13,6,1,0,1,0,10,0,0,0,0,14
1081,"Lee County, AL",165000,49,30,15,23,1,3,1,1,7,1,1,0,0,19
