StateFIPS,PUMA,CongressionalDistrict,StateAbbreviation,Population2016,PUMAWgt
1,100,4,AL,93499.455,0.503
1,100,5,AL,92318,0.497
1,200,5,AL,187684.124,1
1,301,5,AL,126793.754,1
1,302,5,AL,108240.183,1
1,400,4,AL,71095.908,0.578
1,400,5,AL,51942.092,0.422
1,500,4,AL,95157,0.779
1,500,5,AL,27001.939,0.221
1,600,4,AL,33244,0.218
1,600,5,AL,119012,0.782
1,700,4,AL,106276,1
1,800,3,AL,88019,0.604
1,800,4,AL,4924.601,0.034
1,800,6,AL,52779.399,0.362
1,900,4,AL,102564,1
1,1000,3,AL,155140.021,0.989
1,1000,4,AL,1755.979,0.011
1,1100,3,AL,114611,1
1,1200,6,AL,210622,1
1,1301,6,AL,7.011,0
1,1301,7,AL,100987.544,1
1,1302,6,AL,16490.379,0.161
1,1302,7,AL,85771.204,0.839
1,1303,6,AL,158368.333,0.929
1,1303,7,AL,12049.275,0.071
1,1304,6,AL,125717.103,0.719
1,1304,7,AL,49235.76,0.281
1,1305,6,AL,57196.494,0.516
1,1305,7,AL,53697.898,0.484
1,1400,4,AL,117773.545,1
1,1500,4,AL,38883.414,0.356
1,1500,7,AL,70408.472,0.644
1,1600,4,AL,16629.531,0.142
1,1600,7,AL,100504.583,0.858
1,1700,6,AL,22643,0.176
1,1700,7,AL,105669,0.824
1,1800,3,AL,74570,0.578
1,1800,6,AL,54522,0.422
1,1900,3,AL,158991,1
1,2000,2,AL,126525.225,0.652
1,2000,3,AL,19038.489,0.098
1,2000,7,AL,48387.683,0.249
1,2100,2,AL,154763.331,0.86
1,2100,3,AL,12396.926,0.069
1,2100,7,AL,12810.345,0.071
1,2200,1,AL,84129.559,0.615
1,2200,2,AL,12395,0.091
1,2200,7,AL,40255.441,0.294
1,2300,2,AL,122595,1
1,2400,2,AL,69613,0.474
1,2400,3,AL,77135,0.526
1,2500,2,AL,197060,1
1,2600,1,AL,208563,1
1,2701,1,AL,111259.563,1
1,2702,1,AL,107764.025,1
1,2703,1,AL,195812.412,1
2,101,0,AK,135433.32,1
2,102,0,AK,162758.68,1
2,200,0,AK,162871,1
2,300,0,AK,168587,1
2,400,0,AK,112243.261,1
4,100,5,AZ,123698.968,1
4,101,4,AZ,0,0
4,101,5,AZ,162627.3,1
4,102,5,AZ,104641.082,0.718
4,102,6,AZ,0,0
4,102,9,AZ,41100.342,0.282
4,103,5,AZ,0,0
4,103,9,AZ,117927.691,1
4,104,5,AZ,111411.661,1
4,105,5,AZ,150333.324,0.999
