CountyFIPS,StateFIPS,CongressionalDistrict,StateAbbreviation,cntyname,CountyPopulation,CountyWeight,CDWeight
1001,1,2,AL,Autauga AL,55416,1,0.081
1003,1,1,AL,Baldwin AL,208563,1,0.295
1005,1,2,AL,Barbour AL,25965,1,0.038
1007,1,6,AL,Bibb AL,22643,1,0.032
1009,1,4,AL,Blount AL,4924.601,0.085,0.007
1009,1,6,AL,Blount AL,52779.399,0.915,0.076
1011,1,2,AL,Bullock AL,10362,1,0.015
1013,1,2,AL,Butler AL,19998,1,0.029
1015,1,3,AL,Calhoun AL,114611,1,0.164
1017,1,3,AL,Chambers AL,33843,1,0.048
1019,1,3,AL,Cherokee AL,23969.021,0.932,0.034
1019,1,4,AL,Cherokee AL,1755.979,0.068,0.003
1021,1,6,AL,Chilton AL,43941,1,0.063
1023,1,7,AL,Choctaw AL,12993,1,0.019
1025,1,1,AL,Clarke AL,8115.559,0.333,0.011
1025,1,7,AL,Clarke AL,16276.441,0.667,0.024
1027,1,3,AL,Clay AL,13492,1,0.019
1029,1,3,AL,Cleburne AL,14924,1,0.021
1031,1,2,AL,Coffee AL,51226,1,0.075
1033,1,4,AL,Colbert AL,54216,1,0.08
1035,1,2,AL,Conecuh AL,12395,1,0.018
1037,1,6,AL,Coosa AL,10581,1,0.015
1039,1,2,AL,Covington AL,37458,1,0.055
1041,1,2,AL,Crenshaw AL,13913,1,0.02
1043,1,4,AL,Cullman AL,82471,1,0.121
1045,1,2,AL,Dale AL,49226,1,0.072
1047,1,7,AL,Dallas AL,40008,1,0.059
1049,1,4,AL,DeKalb AL,70900,1,0.104
1051,1,2,AL,Elmore AL,81799,1,0.12
1053,1,1,AL,Escambia AL,37728,1,0.053
1055,1,4,AL,Etowah AL,102564,1,0.15
1057,1,4,AL,Fayette AL,16546,1,0.024
1059,1,4,AL,Franklin AL,31628,1,0.046
1061,1,2,AL,Geneva AL,26614,1,0.039
1063,1,7,AL,Greene AL,8422,1,0.012
1065,1,7,AL,Hale AL,14952,1,0.022
1067,1,2,AL,Henry AL,17164,1,0.025
1069,1,2,AL,Houston AL,104056,1,0.152
1071,1,4,AL,Jackson AL,195.908,0.004,0
1071,1,5,AL,Jackson AL,51942.092,0.996,0.073
1073,1,6,AL,Jefferson AL,357779.32,0.542,0.512
1073,1,7,AL,Jefferson AL,301741.68,0.458,0.444
1075,1,4,AL,Lamar AL,13918,1,0.02
1077,1,5,AL,Lauderdale AL,92318,1,0.129
1079,1,4,AL,Lawrence AL,33244,1,0.049
1081,1,3,AL,Lee AL,158991,1,0.227
1083,1,5,AL,Limestone AL,92753,1,0.13
1085,1,7,AL,Lowndes AL,10358,1,0.015
1087,1,3,AL,Macon AL,18963,1,0.027
1089,1,5,AL,Madison AL,356967,1,0.501
1091,1,7,AL,Marengo AL,19673,1,0.029
1093,1,4,AL,Marion AL,29998,1,0.044
1095,1,4,AL,Marshall AL,95157,1,0.14
1097,1,1,AL,Mobile AL,414836,1,0.586
1099,1,1,AL,Monroe AL,21530,1,0.03
1101,1,2,AL,Montgomery AL,144073.557,0.637,0.211
1101,1,3,AL,Montgomery AL,31435.415,0.139,0.045
1101,1,7,AL,Montgomery AL,50840.028,0.225,0.075
1103,1,5,AL,Morgan AL,119012,1,0.167
1105,1,7,AL,Perry AL,9574,1,0.014
1107,1,7,AL,Pickens AL,20324,1,0.03
1109,1,2,AL,Pike AL,33286,1,0.049
1111,1,3,AL,Randolph AL,22652,1,0.032
1113,1,3,AL,Russell AL,58172,1,0.083
1115,1,3,AL,St. Clair AL,88019,1,0.126
1117,1,6,AL,Shelby AL,210622,1,0.302
1119,1,7,AL,Sumter AL,13040,1,0.019
1121,1,3,AL,Talladega AL,80103,1,0.114
1123,1,3,AL,Tallapoosa AL,40727,1,0.058
1125,1,4,AL,Tuscaloosa AL,55512.945,0.269,0.081
1125,1,7,AL,Tuscaloosa AL,150589.055,0.731,0.222
1127,1,4,AL,Walker AL,64967,1,0.095
1129,1,1,AL,Washington AL,16756,1,0.024
1131,1,7,AL,Wilcox AL,10986,1,0.016
1133,1,4,AL,Winston AL,23805,1,0.035
2013,2,0,AK,Aleutians East Borough AK,3296,1,0.004
2016,2,0,AK,Aleutians West Census Area AK,5647,1,0.008
2020,2,0,AK,Anchorage Borough AK,298192,1,0.402
2050,2,0,AK,Bethel Census Area AK,17968,1,0.024
2060,2,0,AK,Bristol Bay Borough AK,898,1,0.001
2068,2,0,AK,Denali Borough AK,1953,1,0.003
2070,2,0,AK,Dillingham Census Area AK,4954,1,0.007
2090,2,0,AK,Fairbanks North Star Borough AK,100605,1,0.136
2100,2,0,AK,Haines Borough AK,2496,1,0.003
2105,2,0,AK,Hoonah-Angoon Census Area,2078,1,0.003
2110,2,0,AK,Juneau Borough AK,32468,1,0.044
2122,2,0,AK,Kenai Peninsula Borough AK,58506,1,0.079
2130,2,0,AK,Ketchikan Gateway Borough AK,13746,1,0.019
2150,2,0,AK,Kodiak Island Borough AK,13732,1,0.019
2158,2,0,AK,Kusilvak Census Area (N),8048.261,1,0.011
2164,2,0,AK,Lake and Peninsula Borough AK,1562,1,0.002
2170,2,0,AK,Matanuska-Susitna Borough AK,104365,1,0.141
2180,2,0,AK,Nome Census Area AK,9917,1,0.013
2185,2,0,AK,North Slope Borough AK,9606,1,0.013
2188,2,0,AK,Northwest Arctic Borough AK,7673,1,0.01
2195,2,0,AK,Petersburg Census Area,3149,1,0.004
2198,2,0,AK,Prince of Wales-Hyder Census Area,6347,1,0.009
2220,2,0,AK,Sitka Borough AK,8830,1,0.012
2230,2,0,AK,Skagway Municipality,1088,1,0.001
2240,2,0,AK,Southeast Fairbanks Census Area AK,6876,1,0.009
2261,2,0,AK,Valdez-Cordova Census Area AK,9355,1,0.013
2275,2,0,AK,Wrangell City and Borough,2411,1,0.003
2282,2,0,AK,Yakutat Borough,601,1,0.001
2290,2,0,AK,Yukon-Koyukuk Census Area AK,5526,1,0.007
4001,4,1,AZ,Apache AZ,73112,1,0.097
4003,4,2,AZ,Cochise AZ,125770,1,0.173
4005,4,1,AZ,Coconino AZ,140908,1,0.188
4007,4,1,AZ,Gila AZ,26209.935,0.489,0.035
4007,4,4,AZ,Gila AZ,27346.065,0.511,0.036
4009,4,1,AZ,Graham AZ,37599,1,0.05
4011,4,1,AZ,Greenlee AZ,9613,1,0.013
4012,4,4,AZ,La Paz AZ,20317,1,0.027
4013,4,1,AZ,Maricopa AZ,3328.044,0.001,0.004
4013,4,3,AZ,Maricopa AZ,250919.394,0.059,0.334
4013,4,4,AZ,Maricopa AZ,41426.032,0.01,0.055
4013,4,5,AZ,Maricopa AZ,789464.484,0.186,1
4013,4,6,AZ,Maricopa AZ,789249.95,0.186,1
4013,4,7,AZ,Maricopa AZ,789464.484,0.186,1
4013,4,8,AZ,Maricopa AZ,789680.128,0.186,1
4013,4,9,AZ,Maricopa AZ,789464.484,0.186,1
4015,4,1,AZ,Mohave AZ,1676.352,0.008,0.002
4015,4,4,AZ,Mohave AZ,203572.648,0.992,0.27
4017,4,1,AZ,Navajo AZ,110026,1,0.147
4019,4,1,AZ,Pima AZ,95467.672,0.094,0.127
4019,4,2,AZ,Pima AZ,600090.064,0.591,0.827
4019,4,3,AZ,Pima AZ,320648.264,0.316,0.427
4021,4,1,AZ,Pinal AZ,220176.522,0.526,0.293
4021,4,3,AZ,Pinal AZ,607.032,0.001,0.001
4021,4,4,AZ,Pinal AZ,197756.447,0.472,0.262
4023,4,3,AZ,Santa Cruz AZ,45985,1,0.061
4025,4,1,AZ,Yavapai AZ,32622.281,0.145,0.043
4025,4,4,AZ,Yavapai AZ,192939.719,0.855,0.255
4027,4,3,AZ,Yuma AZ,133652.639,0.65,0.178
4027,4,4,AZ,Yuma AZ,71978.361,0.35,0.095
5001,5,1,AR,Arkansas AR,18214,1,0.025
5003,5,4,AR,Ashley AR,20492,1,0.029
5005,5,1,AR,Baxter AR,41062,1,0.057
5007,5,3,AR,Benton AR,258291,1,0.325
5009,5,3,AR,Boone AR,37304,1,0.047
5011,5,4,AR,Bradley AR,10996,1,0.015
5013,5,4,AR,Calhoun AR,5144,1,0.007
5015,5,3,AR,Carroll AR,27646,1,0.035
5017,5,1,AR,Chicot AR,10945,1,0.015
5019,5,4,AR,Clark AR,22657,1,0.032
5021,5,1,AR,Clay AR,14920,1,0.021
5023,5,1,AR,Cleburne AR,25264,1,0.035
