StateFIPS,PUMA,CountyFIPS,StateAbbreviation,CountyName,PUMAname,Population2016,FracPUMAInCounty,FracCountyInPUMA
1,100,1033,AL,Colbert AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",54216,0.292,1
1,100,1059,AL,Franklin AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",31628,0.17,1
1,100,1077,AL,Lauderdale AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",92318,0.497,1
1,100,1093,AL,Marion AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",7655.455,0.041,0.255
1,200,1083,AL,Limestone AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),92753,0.494,1
1,200,1089,AL,Madison AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),94931.124,0.506,0.266
1,301,1089,AL,Madison AL,Huntsville (North) & Madison (East) Cities,126793.754,1,0.355
1,302,1089,AL,Madison AL,Huntsville City (Central & South),108240.183,1,0.303
1,400,1049,AL,DeKalb AL,DeKalb & Jackson Counties,70900,0.576,1
1,400,1071,AL,Jackson AL,DeKalb & Jackson Counties,52138,0.424,1
1,500,1089,AL,Madison AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),27001.939,0.221,0.076
1,500,1095,AL,Marshall AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),95157,0.779,1
1,600,1079,AL,Lawrence AL,Morgan & Lawrence Counties--Decatur City,33244,0.218,1
1,600,1103,AL,Morgan AL,Morgan & Lawrence Counties--Decatur City,119012,0.782,1
1,700,1043,AL,Cullman AL,Cullman & Winston Counties,82471,0.776,1
1,700,1133,AL,Winston AL,Cullman & Winston Counties,23805,0.224,1
1,800,1009,AL,Blount AL,St. Clair & Blount Counties,57704,0.396,1
1,800,1115,AL,St. Clair AL,St. Clair & Blount Counties,88019,0.604,1
1,900,1055,AL,Etowah AL,Etowah County,102564,1,1
1,1000,1019,AL,Cherokee AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",25725,0.164,1
1,1000,1027,AL,Clay AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",13492,0.086,1
1,1000,1029,AL,Cleburne AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",14924,0.095,1
1,1000,1111,AL,Randolph AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",22652,0.144,1
1,1000,1121,AL,Talladega AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",80103,0.511,1
1,1100,1015,AL,Calhoun AL,Calhoun County,114611,1,1
1,1200,1117,AL,Shelby AL,Shelby County,210622,1,1
1,1301,1073,AL,Jefferson AL,Birmingham City (West),100994.556,1,0.153
1,1302,1073,AL,Jefferson AL,Birmingham City (East),102261.582,1,0.155
1,1303,1073,AL,Jefferson AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170417.608,1,0.258
1,1304,1073,AL,Jefferson AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",174952.863,1,0.265
1,1305,1073,AL,Jefferson AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",110894.392,1,0.168
1,1400,1057,AL,Fayette AL,"Walker, Marion (South & West), Fayette & Lamar Counties",16546,0.14,1
1,1400,1075,AL,Lamar AL,"Walker, Marion (South & West), Fayette & Lamar Counties",13918,0.118,1
1,1400,1093,AL,Marion AL,"Walker, Marion (South & West), Fayette & Lamar Counties",22342.545,0.19,0.745
1,1400,1127,AL,Walker AL,"Walker, Marion (South & West), Fayette & Lamar Counties",64967,0.552,1
1,1500,1107,AL,Pickens AL,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),20324,0.186,1
1,1500,1125,AL,Tuscaloosa AL,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),88967.886,0.814,0.432
1,1600,1125,AL,Tuscaloosa AL,Tuscaloosa & Northport (Southeast) Cities,117134.114,1,0.568
1,1700,1007,AL,Bibb AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22643,0.176,1
1,1700,1047,AL,Dallas AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",40008,0.312,1
1,1700,1063,AL,Greene AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",8422,0.066,1
1,1700,1065,AL,Hale AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",14952,0.117,1
1,1700,1091,AL,Marengo AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",19673,0.153,1
1,1700,1105,AL,Perry AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",9574,0.075,1
1,1700,1119,AL,Sumter AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",13040,0.102,1
1,1800,1017,AL,Chambers AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",33843,0.262,1
1,1800,1021,AL,Chilton AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",43941,0.34,1
1,1800,1037,AL,Coosa AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",10581,0.082,1
