stateFIPS,StateLower,PUMA,StateAbbreviation,Population2016,FracSLDFromPUMA,FracPUMAFromSLD
1,1,100,AL,45774.13,1,0.246
1,2,100,AL,38795.686,0.841,0.209
1,2,200,AL,7312.049,0.159,0.039
1,3,100,AL,41461.343,0.908,0.223
1,3,600,AL,4209.351,0.092,0.028
1,4,200,AL,11658.271,0.252,0.062
1,4,600,AL,34526.328,0.748,0.227
1,5,200,AL,50871.741,1,0.271
1,6,200,AL,34118.894,0.689,0.182
1,6,301,AL,13835.748,0.279,0.109
1,6,302,AL,1576.872,0.032,0.015
1,7,100,AL,6687.929,0.152,0.036
1,7,600,AL,32247.744,0.734,0.212
1,7,700,AL,5024.679,0.114,0.047
1,8,600,AL,44915.601,1,0.295
1,9,500,AL,1305.328,0.029,0.011
1,9,600,AL,32056.249,0.708,0.211
1,9,700,AL,11920.478,0.263,0.112
1,10,200,AL,10950.68,0.228,0.058
1,10,301,AL,21507.941,0.447,0.17
1,10,302,AL,14284.608,0.297,0.132
1,10,500,AL,1348.711,0.028,0.011
1,11,500,AL,4114.444,0.089,0.034
1,11,600,AL,4300.727,0.093,0.028
1,11,700,AL,24323.027,0.528,0.229
1,11,800,AL,13316.153,0.289,0.091
1,12,700,AL,46227.495,1,0.435
1,13,800,AL,5151.1,0.117,0.035
1,13,1400,AL,38727.4,0.883,0.329
1,14,700,AL,12313.769,0.28,0.116
1,14,1304,AL,5346.553,0.122,0.031
1,14,1400,AL,26239.6,0.598,0.223
1,15,1200,AL,5965.023,0.129,0.028
1,15,1303,AL,3521.633,0.076,0.021
1,15,1305,AL,36911.045,0.796,0.333
1,16,1304,AL,2951.722,0.066,0.017
1,16,1305,AL,9631.407,0.216,0.087
1,16,1400,AL,23148.545,0.519,0.197
1,16,1500,AL,8858.989,0.199,0.081
1,17,100,AL,7655.455,0.175,0.041
1,17,700,AL,6466.552,0.148,0.061
1,17,1400,AL,29658,0.677,0.252
1,18,100,AL,45442.911,1,0.245
1,19,200,AL,14608.725,0.304,0.078
1,19,301,AL,27941.239,0.582,0.22
1,19,302,AL,5496.13,0.114,0.051
1,20,200,AL,620.514,0.013,0.003
1,20,302,AL,36810.746,0.754,0.34
1,20,500,AL,11408.069,0.234,0.093
1,21,200,AL,24180.841,0.497,0.129
1,21,302,AL,24463.377,0.503,0.226
1,22,200,AL,24895.178,0.517,0.133
1,22,302,AL,349.705,0.007,0.003
1,22,400,AL,8656.199,0.18,0.07
1,22,500,AL,14245.159,0.296,0.117
1,23,400,AL,45059.151,1,0.366
1,24,400,AL,45836.881,1,0.373
1,25,200,AL,8467.232,0.172,0.045
1,25,301,AL,40676.695,0.828,0.321
1,26,400,AL,6713.211,0.144,0.055
1,26,500,AL,39884.122,0.856,0.326
