stateFIPS,StateUpper,PUMA,StateAbbreviation,Population2016,FracSLDFromPUMA,FracPUMAFromSLD
1,1,100,AL,65335.282,0.455,0.352
1,1,200,AL,71241.917,0.496,0.38
1,1,301,AL,7143.37,0.05,0.056
1,2,200,AL,45640.319,0.308,0.243
1,2,301,AL,98416.449,0.663,0.776
1,2,302,AL,4303.081,0.029,0.04
1,3,200,AL,19885.652,0.143,0.106
1,3,302,AL,1.066,0,0
1,3,600,AL,119012,0.857,0.782
1,4,100,AL,7109.612,0.052,0.038
1,4,600,AL,29034.649,0.214,0.191
1,4,700,AL,94598.094,0.697,0.89
1,4,1400,AL,4922.339,0.036,0.042
1,5,700,AL,11677.906,0.087,0.11
1,5,1304,AL,1668.669,0.012,0.01
1,5,1305,AL,16987.173,0.127,0.153
1,5,1400,AL,81513,0.61,0.692
1,5,1500,AL,21650.366,0.162,0.198
1,5,1600,AL,69.881,0.001,0.001
1,6,100,AL,113372.562,0.84,0.61
1,6,600,AL,4209.351,0.031,0.028
1,6,1400,AL,17420.206,0.129,0.148
1,7,200,AL,36499.423,0.248,0.194
1,7,301,AL,21233.934,0.144,0.167
1,7,302,AL,76012.922,0.517,0.702
1,7,500,AL,13284.536,0.09,0.109
1,8,200,AL,14416.814,0.104,0.077
1,8,302,AL,16499.053,0.119,0.152
1,8,400,AL,103408.863,0.745,0.84
1,8,500,AL,4563.227,0.033,0.037
1,9,302,AL,11424.061,0.081,0.106
1,9,400,AL,12853.111,0.091,0.104
1,9,500,AL,104311.176,0.738,0.854
1,9,800,AL,12794.701,0.09,0.088
1,10,400,AL,6776.026,0.05,0.055
1,10,800,AL,5740.667,0.042,0.039
1,10,900,AL,102564,0.757,1
1,10,1000,AL,20435.285,0.151,0.13
1,11,800,AL,73687.338,0.524,0.506
1,11,1000,AL,40201.892,0.286,0.256
1,11,1200,AL,26809.675,0.191,0.127
1,12,1000,AL,16215.544,0.124,0.103
1,12,1100,AL,114611,0.876,1
1,13,1000,AL,51160.215,0.356,0.326
1,13,1800,AL,33843,0.235,0.262
1,13,1900,AL,58806.956,0.409,0.37
1,14,1200,AL,71764.897,0.508,0.341
1,14,1303,AL,3543.669,0.025,0.021
1,14,1305,AL,7597.153,0.054,0.069
1,14,1700,AL,25581.22,0.181,0.199
1,14,1800,AL,32826.624,0.232,0.254
1,15,1000,AL,23240.198,0.165,0.148
1,15,1200,AL,66321.341,0.47,0.315
1,15,1302,AL,2136.418,0.015,0.021
1,15,1303,AL,38962.326,0.276,0.229
1,15,1304,AL,10547.873,0.075,0.06
1,16,1200,AL,45726.086,0.325,0.217
1,16,1303,AL,94962.907,0.675,0.557
1,17,800,AL,53500.294,0.394,0.367
1,17,1000,AL,5642.866,0.042,0.036
1,17,1302,AL,260.417,0.002,0.003
1,17,1304,AL,76521.407,0.563,0.437
1,18,1301,AL,40431.676,0.298,0.4
1,18,1302,AL,59566.285,0.44,0.582
1,18,1303,AL,20815.297,0.154,0.122
1,18,1305,AL,14661.453,0.108,0.132
1,19,1301,AL,46415.248,0.343,0.46
1,19,1304,AL,17370.787,0.128,0.099
1,19,1305,AL,71648.612,0.529,0.646
1,20,1301,AL,14147.631,0.104,0.14
1,20,1302,AL,40298.463,0.298,0.394
1,20,1303,AL,12133.409,0.09,0.071
1,20,1304,AL,68844.126,0.508,0.394
1,21,1400,AL,13918,0.098,0.118
1,21,1500,AL,74501.455,0.526,0.682
1,21,1600,AL,53289.463,0.376,0.455
1,22,2200,AL,83161.637,0.593,0.608
1,22,2600,AL,50745.581,0.362,0.243
1,22,2703,AL,6307.036,0.045,0.032
1,23,1700,AL,55447.318,0.441,0.432
1,23,2100,AL,10358,0.082,0.058
1,23,2200,AL,39844.756,0.317,0.291
1,23,2300,AL,19998,0.159,0.163
1,24,1500,AL,13140.065,0.095,0.12
1,24,1600,AL,63774.771,0.462,0.544
1,24,1700,AL,47283.462,0.343,0.369
1,24,2200,AL,13773.607,0.1,0.101
1,25,2000,AL,75016.106,0.555,0.387
1,25,2100,AL,46251.453,0.342,0.257
1,25,2300,AL,13913,0.103,0.113
1,26,2000,AL,118935.291,0.883,0.613
1,26,2100,AL,15722.642,0.117,0.087
1,27,1800,AL,33293.266,0.221,0.258
1,27,1900,AL,93206.429,0.62,0.586
1,27,2400,AL,23819.46,0.158,0.162
1,28,1900,AL,6977.615,0.051,0.044
1,28,2400,AL,89642.54,0.651,0.611
1,28,2500,AL,41103.223,0.298,0.209
1,29,2500,AL,139004.758,1,0.705
1,30,1800,AL,29129.11,0.213,0.226
1,30,2100,AL,107638.508,0.787,0.598
1,31,2300,AL,88684,0.638,0.723
1,31,2400,AL,33286,0.24,0.227
1,31,2500,AL,16952.019,0.122,0.086
1,32,2600,AL,157817.419,1,0.757
1,33,2701,AL,102672.392,0.75,0.923
1,33,2702,AL,26472.674,0.193,0.246
1,33,2703,AL,7677.126,0.056,0.039
1,34,2701,AL,6513.955,0.048,0.059
1,34,2702,AL,32822.902,0.242,0.305
1,34,2703,AL,96534.107,0.71,0.493
1,35,2701,AL,2073.216,0.015,0.019
1,35,2702,AL,48468.449,0.357,0.45
1,35,2703,AL,85294.144,0.628,0.436
2,00A,300,AK,36563.017,1,0.217
2,00B,300,AK,36557.862,1,0.217
2,00C,300,AK,33795.216,0.927,0.2
2,00C,400,AK,2658.176,0.073,0.024
2,00D,200,AK,41669.774,1,0.256
2,00E,200,AK,30272.241,0.761,0.186
2,00E,300,AK,9503.089,0.239,0.056
2,00F,101,AK,7907.821,0.196,0.058
2,00F,200,AK,32422.985,0.804,0.199
2,00G,101,AK,36270.323,1,0.268
2,00H,101,AK,30637.06,0.845,0.226
2,00H,102,AK,5614.87,0.155,0.034
2,00I,101,AK,14062.209,0.385,0.104
2,00I,102,AK,22439.044,0.615,0.138
2,00J,101,AK,36182.447,1,0.267
2,00K,101,AK,2099.829,0.058,0.016
2,00K,102,AK,34069.335,0.942,0.209
2,00L,102,AK,36285.65,1,0.223
2,00M,101,AK,6.131,0,0
2,00M,102,AK,36387.831,1,0.224
2,00N,101,AK,8267.5,0.228,0.061
2,00N,102,AK,27961.95,0.772,0.172
2,00O,200,AK,38067.974,1,0.234
2,00P,200,AK,20438.026,0.55,0.125
2,00P,300,AK,2369.817,0.064,0.014
2,00P,400,AK,14333,0.386,0.128
2,00Q,300,AK,36052,0.985,0.214
2,00Q,400,AK,533.514,0.015,0.005
2,00R,300,AK,13746,0.382,0.082
2,00R,400,AK,22281.486,0.618,0.199
2,00S,400,AK,36176.195,1,0.322
2,00T,400,AK,36260.89,1,0.323
4,1,111,AZ,503.542,0.002,0.004
4,1,112,AZ,20335.082,0.087,0.173
4,1,129,AZ,54968.303,0.235,0.467
4,1,500,AZ,158459.782,0.676,0.703
4,2,201,AZ,11806.597,0.057,0.113
4,2,205,AZ,68607.638,0.328,0.541
4,2,208,AZ,70581.452,0.338,0.63
4,2,209,AZ,11963.134,0.057,0.1
4,2,900,AZ,45985,0.22,0.268
4,3,201,AZ,56636.211,0.267,0.54
4,3,202,AZ,66956.228,0.316,0.56
4,3,207,AZ,49241.668,0.232,0.466
4,3,208,AZ,38093.354,0.18,0.34
4,3,209,AZ,1188.02,0.006,0.01
4,4,132,AZ,39952.089,0.183,0.35
4,4,134,AZ,27409.121,0.126,0.224
4,4,201,AZ,30033.271,0.138,0.286
4,4,208,AZ,3350.507,0.015,0.03
4,4,700,AZ,116393.38,0.535,0.566
4,4,807,AZ,607.032,0.003,0.004
4,5,600,AZ,223889.648,1,0.993
4,6,300,AZ,27997.756,0.125,0.153
4,6,400,AZ,101053.199,0.451,0.717
4,6,500,AZ,67102.218,0.3,0.297
4,6,800,AZ,27699.794,0.124,0.245
4,7,300,AZ,155140.244,0.744,0.847
4,7,400,AZ,39854.801,0.191,0.283
4,7,600,AZ,1676.352,0.008,0.007
4,7,800,AZ,11789.345,0.057,0.104
4,8,800,AZ,30991.616,0.135,0.275
4,8,803,AZ,41216.895,0.179,0.3
4,8,805,AZ,112369.92,0.489,0.884
4,8,807,AZ,45399.288,0.197,0.32
4,9,203,AZ,53474.378,0.242,0.471
4,9,204,AZ,72087.728,0.326,0.666
4,9,206,AZ,42821.591,0.194,0.404
4,9,207,AZ,52658.521,0.238,0.498
4,10,204,AZ,34267.017,0.157,0.317
4,10,205,AZ,11176.304,0.051,0.088
4,10,206,AZ,63083.241,0.288,0.596
4,10,207,AZ,3764.137,0.017,0.036
4,10,209,AZ,106521.649,0.487,0.89
4,11,201,AZ,6399.343,0.028,0.061
4,11,202,AZ,52593.211,0.23,0.44
4,11,203,AZ,59977.388,0.262,0.529
4,11,204,AZ,1786.177,0.008,0.016
4,11,805,AZ,12189.642,0.053,0.096
4,11,807,AZ,95730.569,0.419,0.675
4,12,100,AZ,123139.848,0.5,0.995
4,12,104,AZ,506.876,0.002,0.005
4,12,105,AZ,120253.098,0.488,0.799
4,12,805,AZ,2577.379,0.01,0.02
4,13,132,AZ,67710.243,0.294,0.594
4,13,133,AZ,5155.467,0.022,0.045
4,13,134,AZ,68027.041,0.296,0.557
4,13,700,AZ,89237.62,0.388,0.434
4,14,201,AZ,6.22,0,0
4,14,203,AZ,23.843,0,0
4,14,204,AZ,122.327,0.001,0.001
4,14,205,AZ,46984.844,0.218,0.371
4,14,800,AZ,42383.327,0.197,0.376
4,14,900,AZ,125770,0.584,0.732
4,15,112,AZ,46568.16,0.195,0.397
4,15,113,AZ,63549.632,0.266,0.559
4,15,114,AZ,12737.493,0.053,0.111
4,15,115,AZ,13201.019,0.055,0.117
4,15,126,AZ,57.802,0,0
4,15,128,AZ,79542.917,0.333,0.694
4,15,129,AZ,23265.183,0.097,0.198
4,16,100,AZ,12.227,0,0
4,16,101,AZ,148383.628,0.606,0.912
4,16,102,AZ,165.624,0.001,0.001
4,16,803,AZ,96353.194,0.393,0.7
4,17,100,AZ,546.893,0.002,0.004
4,17,105,AZ,30163.594,0.123,0.201
4,17,106,AZ,103507.279,0.421,0.817
4,17,107,AZ,111635.087,0.454,1
4,18,103,AZ,32810.245,0.135,0.278
4,18,106,AZ,23251.845,0.096,0.183
4,18,108,AZ,93266.374,0.384,0.83
4,18,109,AZ,8034.436,0.033,0.071
4,18,120,AZ,85712.137,0.353,0.77
4,19,119,AZ,2121.989,0.009,0.018
4,19,121,AZ,86807.035,0.377,0.631
4,19,122,AZ,2639.981,0.011,0.023
4,19,123,AZ,50708.763,0.22,0.421
4,19,132,AZ,11.116,0,0
4,19,133,AZ,87886.37,0.382,0.76
4,19,134,AZ,11.116,0,0
4,20,114,AZ,27988.249,0.115,0.243
4,20,115,AZ,61910.065,0.255,0.547
4,20,125,AZ,49732.803,0.205,0.439
4,20,126,AZ,67855.859,0.28,0.501
4,20,128,AZ,35021.16,0.144,0.306
4,21,126,AZ,3.335,0,0
4,21,127,AZ,97829.374,0.407,0.776
4,21,129,AZ,2511.039,0.01,0.021
4,21,130,AZ,99607.888,0.414,0.771
4,21,131,AZ,40416.726,0.168,0.351
4,22,126,AZ,50863.271,0.212,0.376
4,22,127,AZ,24635.751,0.103,0.195
4,22,129,AZ,36879.706,0.154,0.314
4,22,130,AZ,29581.131,0.123,0.229
4,22,131,AZ,74675.348,0.311,0.649
4,22,134,AZ,23366.336,0.097,0.191
4,23,110,AZ,77814.424,0.328,0.599
4,23,111,AZ,109079.585,0.46,0.936
4,23,112,AZ,50343.056,0.212,0.429
