stateFIPS,StateLower,CongressionalDistrict,StateAbbreviation,Population2016,FracSLDFromCD,FracCDFromSLD
1,64,1,AL,50970.972,1,0.072
1,65,1,AL,21602.542,0.507,0.031
1,66,1,AL,47277.013,1,0.067
1,68,1,AL,18543.248,0.437,0.026
1,92,1,AL,4888.424,0.109,0.007
1,94,1,AL,52597.033,1,0.074
1,95,1,AL,52603.899,1,0.074
1,96,1,AL,51577.179,1,0.073
1,97,1,AL,45272.241,1,0.064
1,98,1,AL,45270.232,1,0.064
1,99,1,AL,45270.232,1,0.064
1,100,1,AL,45270.232,1,0.064
1,101,1,AL,45290.321,1,0.064
1,102,1,AL,45272.241,1,0.064
1,103,1,AL,45276.259,1,0.064
1,104,1,AL,45273.245,1,0.064
1,105,1,AL,45273.245,1,0.064
1,31,2,AL,47276.526,1,0.069
1,42,2,AL,16182.76,0.349,0.024
1,68,2,AL,7764.21,0.183,0.011
1,69,2,AL,16664.37,0.381,0.024
1,74,2,AL,41005.976,0.91,0.06
1,75,2,AL,24397.601,0.528,0.036
1,76,2,AL,21562.875,0.475,0.032
1,77,2,AL,36571.03,0.806,0.054
1,78,2,AL,27243.237,0.601,0.04
1,84,2,AL,36327,0.813,0.053
1,85,2,AL,45781.014,1,0.067
1,86,2,AL,47100.693,1,0.069
1,87,2,AL,46258.673,1,0.068
1,88,2,AL,46920.306,1,0.069
1,89,2,AL,45804.339,1,0.067
1,90,2,AL,44576.812,1,0.065
1,91,2,AL,46223.189,1,0.068
1,92,2,AL,39889.666,0.891,0.058
1,93,2,AL,45401.282,1,0.066
1,29,3,AL,5182.878,0.115,0.007
1,30,3,AL,19472.149,0.426,0.028
1,32,3,AL,44135.516,1,0.063
1,33,3,AL,40143.444,0.904,0.057
1,35,3,AL,42056.331,0.946,0.06
1,36,3,AL,46084.326,1,0.066
1,37,3,AL,45501.599,1,0.065
1,38,3,AL,49607.914,1,0.071
1,39,3,AL,39109.032,0.861,0.056
1,40,3,AL,44397.602,1,0.063
1,50,3,AL,48394.498,1,0.069
1,74,3,AL,4040.202,0.09,0.006
1,75,3,AL,21783.931,0.472,0.031
1,78,3,AL,5611.282,0.124,0.008
1,79,3,AL,52116.154,1,0.074
1,80,3,AL,51320.762,1,0.073
1,81,3,AL,35478.564,0.791,0.051
1,82,3,AL,45799.531,1,0.065
1,83,3,AL,51317.922,1,0.073
1,84,3,AL,8347.798,0.187,0.012
1,3,4,AL,44035.619,0.964,0.065
1,7,4,AL,40747.257,0.927,0.06
1,9,4,AL,13225.806,0.292,0.019
1,11,4,AL,28875.37,0.627,0.042
1,12,4,AL,46227.495,1,0.068
1,13,4,AL,38727.4,0.883,0.057
1,14,4,AL,38553.369,0.878,0.057
1,16,4,AL,28671.252,0.643,0.042
1,17,4,AL,43780.007,1,0.064
1,18,4,AL,39329.803,0.865,0.058
1,23,4,AL,1773.258,0.039,0.003
1,24,4,AL,45836.881,1,0.067
1,26,4,AL,46597.332,1,0.068
1,27,4,AL,45895.894,0.982,0.067
1,28,4,AL,45067.071,1,0.066
1,29,4,AL,39953.774,0.885,0.059
1,30,4,AL,26245.502,0.574,0.038
1,34,4,AL,11936.619,0.26,0.018
1,39,4,AL,6333.486,0.139,0.009
1,61,4,AL,26934.843,0.57,0.04
1,62,4,AL,2800.529,0.058,0.004
1,63,4,AL,20254.866,0.423,0.03
1,1,5,AL,45774.13,1,0.064
1,2,5,AL,46107.736,1,0.065
1,3,5,AL,1635.075,0.036,0.002
1,4,5,AL,46184.599,1,0.065
1,5,5,AL,50871.741,1,0.071
1,6,5,AL,49531.514,1,0.069
1,7,5,AL,3213.095,0.073,0.005
1,8,5,AL,44915.601,1,0.063
1,9,5,AL,32056.249,0.708,0.045
1,10,5,AL,48091.94,1,0.067
1,11,5,AL,4300.727,0.093,0.006
1,18,5,AL,6113.109,0.135,0.009
1,19,5,AL,48046.094,1,0.067
1,20,5,AL,48839.328,1,0.068
1,21,5,AL,48644.218,1,0.068
1,22,5,AL,48146.242,1,0.068
1,23,5,AL,43285.893,0.961,0.061
1,25,5,AL,49143.927,1,0.069
1,53,5,AL,48090.874,1,0.067
1,11,6,AL,12878.254,0.28,0.018
1,13,6,AL,5151.1,0.117,0.007
1,14,6,AL,5346.553,0.122,0.008
1,15,6,AL,35209.804,0.759,0.05
1,16,6,AL,12583.129,0.282,0.018
1,27,6,AL,852.644,0.018,0.001
1,33,6,AL,4267.612,0.096,0.006
1,34,6,AL,33897.401,0.74,0.049
1,35,6,AL,2390.56,0.054,0.003
1,41,6,AL,48683.226,1,0.07
1,42,6,AL,30235.049,0.651,0.043
1,43,6,AL,48792.064,1,0.07
1,44,6,AL,45160.24,1,0.065
1,45,6,AL,46994.947,1,0.067
1,46,6,AL,45388.606,1,0.065
1,47,6,AL,45651.025,1,0.065
1,48,6,AL,46366.966,1,0.066
1,49,6,AL,47410.492,1,0.068
1,51,6,AL,45145.216,1,0.065
1,52,6,AL,3734.975,0.083,0.005
1,54,6,AL,18245.186,0.404,0.026
1,55,6,AL,5546.873,0.123,0.008
1,56,6,AL,5941.504,0.132,0.009
1,57,6,AL,17237.574,0.382,0.025
1,58,6,AL,1184.895,0.026,0.002
1,59,6,AL,7638.218,0.169,0.011
1,60,6,AL,11250.998,0.249,0.016
1,72,6,AL,6205.457,0.145,0.009
1,73,6,AL,49594.444,1,0.071
1,81,6,AL,9360.707,0.209,0.013
1,15,7,AL,11187.897,0.241,0.016
1,16,7,AL,3336.282,0.075,0.005
1,52,7,AL,41420.258,0.917,0.061
1,54,7,AL,26897.026,0.596,0.04
1,55,7,AL,39596.34,0.877,0.058
1,56,7,AL,39201.709,0.868,0.058
1,57,7,AL,27905.639,0.618,0.041
1,58,7,AL,43975.345,0.974,0.065
1,59,7,AL,37652.23,0.831,0.055
1,60,7,AL,33905.236,0.751,0.05
1,61,7,AL,20343.594,0.43,0.03
1,62,7,AL,45737.034,0.942,0.067
1,63,7,AL,27656.945,0.577,0.041
1,65,7,AL,20973.38,0.493,0.031
1,67,7,AL,41145.201,1,0.061
1,68,7,AL,16157.912,0.38,0.024
1,69,7,AL,27101.337,0.619,0.04
1,70,7,AL,48670.972,1,0.072
1,71,7,AL,45336.685,1,0.067
1,72,7,AL,36493.49,0.855,0.054
1,76,7,AL,23805.019,0.525,0.035
1,77,7,AL,8779.1,0.194,0.013
1,78,7,AL,12498.573,0.276,0.018
2,1,0,AK,18275.322,1,0.025
2,2,0,AK,18285.632,1,0.025
2,3,0,AK,18220.68,1,0.025
2,4,0,AK,18337.182,1,0.025
2,5,0,AK,18391.824,1,0.025
2,6,0,AK,18063.63,1,0.024
2,7,0,AK,20760.42,1,0.028
2,8,0,AK,20909.354,1,0.028
2,9,0,AK,18869.494,1,0.025
2,10,0,AK,20905.836,1,0.028
2,11,0,AK,20775.665,1,0.028
2,12,0,AK,19555.141,1,0.026
2,13,0,AK,18063.634,1,0.024
2,14,0,AK,18371.201,1,0.025
2,15,0,AK,17892.991,1,0.024
2,16,0,AK,18194.427,1,0.025
2,17,0,AK,18185.23,1,0.025
2,18,0,AK,18316.023,1,0.025
2,19,0,AK,18077.94,1,0.024
2,20,0,AK,18104.507,1,0.024
2,21,0,AK,18026.849,1,0.024
2,22,0,AK,18142.314,1,0.024
2,23,0,AK,18197.492,1,0.025
2,24,0,AK,18088.158,1,0.024
2,25,0,AK,18315.001,1,0.025
2,26,0,AK,18078.962,1,0.024
2,27,0,AK,18063.634,1,0.024
2,28,0,AK,18165.816,1,0.024
2,29,0,AK,19036.627,1,0.026
2,30,0,AK,19031.347,1,0.026
2,31,0,AK,18978.544,1,0.026
2,32,0,AK,18162.299,1,0.024
2,33,0,AK,18243.56,1,0.025
2,34,0,AK,18341.954,1,0.025
2,35,0,AK,17555.012,1,0.024
2,36,0,AK,18472.473,1,0.025
2,37,0,AK,17628.218,1,0.024
2,38,0,AK,18547.978,1,0.025
2,39,0,AK,18615.995,1,0.025
2,40,0,AK,17644.895,1,0.024
4,1,1,AZ,69.475,0,0
4,6,1,AZ,161957.49,0.723,0.216
4,7,1,AZ,208460.741,1,0.278
4,8,1,AZ,131151.845,0.57,0.175
4,9,1,AZ,1112.343,0.005,0.001
4,11,1,AZ,202275.54,0.885,0.269
4,14,1,AZ,42383.327,0.197,0.056
4,27,1,AZ,3328.044,0.015,0.004
4,2,2,AZ,74830.748,0.358,0.103
4,3,2,AZ,33766.307,0.159,0.047
4,9,2,AZ,219929.875,0.995,0.303
4,10,2,AZ,218812.348,1,0.301
4,11,2,AZ,5613.55,0.025,0.008
4,14,2,AZ,172907.234,0.803,0.238
4,2,3,AZ,134113.072,0.642,0.178
4,3,3,AZ,178349.174,0.841,0.237
4,4,3,AZ,191711.291,0.88,0.255
4,11,3,AZ,20787.24,0.091,0.028
4,13,3,AZ,58472.982,0.254,0.078
4,19,3,AZ,138060.467,0.6,0.184
4,29,3,AZ,30318.102,0.129,0.04
4,1,4,AZ,158592.613,0.677,0.21
4,5,4,AZ,223889.648,1,0.296
4,6,4,AZ,61895.477,0.277,0.082
4,8,4,AZ,98825.874,0.43,0.131
4,12,4,AZ,2577.379,0.01,0.003
