stateFIPS,StateUpper,CongressionalDistrict,StateAbbreviation,Population2016,FracSLDFromCD,FracCDFromSLD
1,22,1,AL,127859.041,0.912,0.181
1,23,1,AL,13323.135,0.106,0.019
1,32,1,AL,157817.419,1,0.223
1,33,1,AL,136822.192,1,0.193
1,34,1,AL,135870.964,1,0.192
1,35,1,AL,135835.808,1,0.192
1,22,2,AL,3710.629,0.026,0.005
1,23,2,AL,28682.371,0.228,0.042
1,25,2,AL,108636.019,0.804,0.159
1,26,2,AL,78927.03,0.586,0.116
1,28,2,AL,77430.223,0.562,0.113
1,29,2,AL,139004.758,1,0.204
1,30,2,AL,107638.508,0.787,0.158
1,31,2,AL,138922.019,1,0.203
1,10,3,AL,24419.973,0.18,0.035
1,11,3,AL,113889.23,0.809,0.163
1,12,3,AL,130826.544,1,0.187
1,13,3,AL,143810.171,1,0.205
1,15,3,AL,23240.198,0.165,0.033
1,17,3,AL,14233.861,0.105,0.02
1,25,3,AL,25824.133,0.191,0.037
1,26,3,AL,5611.282,0.042,0.008
1,27,3,AL,150319.155,1,0.215
1,28,3,AL,60293.155,0.438,0.086
1,30,3,AL,7433.734,0.054,0.011
1,4,4,AL,135664.693,1,0.199
1,5,4,AL,114911.153,0.86,0.169
1,6,4,AL,108019.401,0.8,0.158
1,8,4,AL,51466.771,0.371,0.075
1,9,4,AL,112934.712,0.799,0.166
1,10,4,AL,111096.005,0.82,0.163
1,21,4,AL,47710.698,0.337,0.07
1,1,5,AL,143720.569,1,0.202
1,2,5,AL,148359.85,1,0.208
1,3,5,AL,138898.718,1,0.195
1,6,5,AL,26982.718,0.2,0.038
1,7,5,AL,147030.815,1,0.206
1,8,5,AL,87421.186,0.629,0.123
1,9,5,AL,20578.237,0.146,0.029
1,5,6,AL,18655.843,0.14,0.027
1,9,6,AL,7870.1,0.056,0.011
1,11,6,AL,26809.675,0.191,0.038
1,14,6,AL,137529.991,0.973,0.197
1,15,6,AL,117967.957,0.835,0.169
1,16,6,AL,140688.993,1,0.201
1,17,6,AL,121214.36,0.892,0.174
1,18,6,AL,22386.811,0.165,0.032
1,19,6,AL,38870.179,0.287,0.056
1,20,6,AL,44656.434,0.33,0.064
1,30,6,AL,21695.376,0.159,0.031
1,14,7,AL,3783.572,0.027,0.006
1,17,7,AL,476.763,0.004,0.001
1,18,7,AL,113087.901,0.835,0.166
1,19,7,AL,96564.469,0.713,0.142
1,20,7,AL,90767.195,0.67,0.134
1,21,7,AL,93998.22,0.663,0.138
1,22,7,AL,8644.583,0.062,0.013
1,23,7,AL,83642.568,0.666,0.123
1,24,7,AL,137971.905,1,0.203
1,25,7,AL,720.407,0.005,0.001
1,26,7,AL,50119.621,0.372,0.074
2,00A,0,AK,36563.017,1,0.049
2,00B,0,AK,36557.862,1,0.049
2,00C,0,AK,36453.392,1,0.049
2,00D,0,AK,41669.774,1,0.056
2,00E,0,AK,39775.33,1,0.054
2,00F,0,AK,40330.806,1,0.054
2,00G,0,AK,36270.323,1,0.049
2,00H,0,AK,36251.93,1,0.049
2,00I,0,AK,36501.253,1,0.049
2,00J,0,AK,36182.447,1,0.049
2,00K,0,AK,36169.163,1,0.049
2,00L,0,AK,36285.65,1,0.049
2,00M,0,AK,36393.962,1,0.049
2,00N,0,AK,36229.45,1,0.049
2,00O,0,AK,38067.974,1,0.051
2,00P,0,AK,37140.842,1,0.05
2,00Q,0,AK,36585.514,1,0.049
2,00R,0,AK,36027.486,1,0.049
2,00S,0,AK,36176.195,1,0.049
2,00T,0,AK,36260.89,1,0.049
4,1,1,AZ,69.475,0,0
4,6,1,AZ,161957.49,0.723,0.216
4,7,1,AZ,208460.741,1,0.278
4,8,1,AZ,131151.845,0.57,0.175
4,9,1,AZ,1112.343,0.005,0.001
4,11,1,AZ,202275.54,0.885,0.269
4,14,1,AZ,42383.327,0.197,0.056
4,27,1,AZ,3328.044,0.015,0.004
4,2,2,AZ,74830.748,0.358,0.103
4,3,2,AZ,33766.307,0.159,0.047
4,9,2,AZ,219929.875,0.995,0.303
4,10,2,AZ,218812.348,1,0.301
4,11,2,AZ,5613.55,0.025,0.008
4,14,2,AZ,172907.234,0.803,0.238
4,2,3,AZ,134113.072,0.642,0.178
4,3,3,AZ,178349.174,0.841,0.237
4,4,3,AZ,191711.291,0.88,0.255
4,11,3,AZ,20787.24,0.091,0.028
4,13,3,AZ,58472.982,0.254,0.078
4,19,3,AZ,138060.467,0.6,0.184
4,29,3,AZ,30318.102,0.129,0.04
4,1,4,AZ,158592.613,0.677,0.21
4,5,4,AZ,223889.648,1,0.296
4,6,4,AZ,61895.477,0.277,0.082
4,8,4,AZ,98825.874,0.43,0.131
4,12,4,AZ,2577.379,0.01,0.003
4,13,4,AZ,107369.674,0.467,0.142
4,16,4,AZ,96353.194,0.393,0.128
4,22,4,AZ,4585.231,0.019,0.006
4,23,4,AZ,1247.183,0.005,0.002
4,12,5,AZ,243899.822,0.99,0.309
4,16,5,AZ,148561.48,0.607,0.188
4,17,5,AZ,167379.267,0.681,0.212
4,25,5,AZ,212992.588,0.868,0.27
