StateFIPS,CongressionalDistrict,PUMA,StateAbbreviation,Population,FracCDInPUMA,FracPUMAInCD
1,4,100,AL,96570,0.1374,0.5079
1,5,100,AL,93564,0.1229,0.4921
1,5,200,AL,212046,0.2786,1
1,5,301,AL,136356,0.1792,1
1,5,302,AL,105621,0.1388,1
1,4,400,AL,71793,0.1021,0.5781
1,5,400,AL,52394,0.0688,0.4219
1,4,500,AL,97612,0.1389,0.7214
1,5,500,AL,37700,0.0495,0.2786
1,4,600,AL,33073,0.047,0.2113
1,5,600,AL,123421,0.1622,0.7887
1,4,700,AL,111406,0.1585,1
1,3,800,AL,91103,0.1239,0.6042
1,4,800,AL,5012,0.0071,0.0332
1,6,800,AL,54667,0.0738,0.3626
1,4,900,AL,103436,0.1471,1
1,3,1000,AL,156682,0.2131,0.9893
1,4,1000,AL,1697,0.0024,0.0107
1,3,1100,AL,116441,0.1584,1
1,6,1200,AL,224566,0.3032,1
1,6,1301,AL,2,0,0
1,7,1301,AL,87719,0.132,1
1,6,1302,AL,18493,0.025,0.1846
1,7,1302,AL,81684,0.1229,0.8154
1,6,1303,AL,172240,0.2325,0.9391
1,7,1303,AL,11160,0.0168,0.0609
1,6,1304,AL,135243,0.1826,0.737
1,7,1304,AL,48268,0.0726,0.263
1,6,1305,AL,57805,0.078,0.4906
1,7,1305,AL,60020,0.0903,0.5094
1,4,1400,AL,117746,0.1675,1
1,4,1500,AL,46764,0.0665,0.3734
1,7,1500,AL,78490,0.1181,0.6266
1,4,1600,AL,17873,0.0254,0.1478
1,7,1600,AL,103032,0.155,0.8522
1,6,1700,AL,22293,0.0301,0.1806
1,7,1700,AL,101156,0.1522,0.8194
1,3,1800,AL,76083,0.1035,0.5786
1,6,1800,AL,55401,0.0748,0.4214
1,3,1900,AL,174241,0.237,1
1,2,2000,AL,126608,0.1826,0.6443
1,3,2000,AL,27711,0.0377,0.141
1,7,2000,AL,42192,0.0635,0.2147
1,2,2100,AL,163059,0.2351,0.8603
1,3,2100,AL,14156,0.0193,0.0747
1,7,2100,AL,12321,0.0185,0.065
1,1,2200,AL,79700,0.1097,0.6137
1,2,2200,AL,11597,0.0167,0.0893
1,7,2200,AL,38569,0.058,0.297
1,2,2300,AL,123280,0.1778,1
1,2,2400,AL,68589,0.0989,0.4656
1,3,2400,AL,78715,0.1071,0.5344
1,2,2500,AL,200333,0.2889,1
1,1,2600,AL,231767,0.3191,1
1,1,2701,AL,99024,0.1363,1
1,1,2702,AL,110631,0.1523,1
1,1,2703,AL,205154,0.2825,1
2,0,101,AK,132800,0.1811,1
2,0,102,AK,158558,0.2162,1
2,0,200,AK,165791,0.2261,1
2,0,300,AK,163279,0.2226,1
2,0,400,AK,112963,0.154,1
4,5,100,AZ,179340,0.2036,1
4,5,101,AZ,186095,0.2112,1
4,5,102,AZ,102908,0.1168,0.7143
4,6,102,AZ,22,0,0.0002
4,9,102,AZ,41136,0.0533,0.2855
4,9,103,AZ,114776,0.1487,1
4,5,104,AZ,106653,0.1211,1
4,5,105,AZ,153232,0.1739,1
4,5,106,AZ,24241,0.0275,0.1991
4,9,106,AZ,97541,0.1264,0.8009
4,5,107,AZ,128551,0.1459,1
4,7,108,AZ,5322,0.0068,0.0493
4,9,108,AZ,102676,0.133,0.9507
4,9,109,AZ,117306,0.152,1
4,6,110,AZ,95706,0.1218,0.7461
4,9,110,AZ,32562,0.0422,0.2539
4,4,111,AZ,1115,0.0014,0.01
4,5,111,AZ,5,0,0
4,6,111,AZ,110420,0.1405,0.99
4,4,112,AZ,91,0.0001,0.0007
4,6,112,AZ,124014,0.1578,0.9467
4,8,112,AZ,6886,0.0082,0.0526
4,6,113,AZ,96953,0.1234,0.9218
4,9,113,AZ,8227,0.0107,0.0782
4,6,114,AZ,92762,0.118,0.833
4,9,114,AZ,18593,0.0241,0.167
4,6,115,AZ,101618,0.1293,0.9267
4,9,115,AZ,8037,0.0104,0.0733
4,7,116,AZ,48044,0.0609,0.4342
4,9,116,AZ,62604,0.0811,0.5658
4,6,117,AZ,272,0.0003,0.0026
4,7,117,AZ,26137,0.0332,0.2501
4,9,117,AZ,78109,0.1012,0.7473
4,7,118,AZ,110358,0.14,0.9308
4,9,118,AZ,8206,0.0106,0.0692
4,7,119,AZ,117260,0.1487,0.9995
4,9,119,AZ,55,0.0001,0.0005
4,7,120,AZ,28168,0.0357,0.2591
4,9,120,AZ,80556,0.1044,0.7409
4,1,121,AZ,22,0,0.0001
4,3,121,AZ,34711,0.0446,0.2294
4,7,121,AZ,116610,0.1479,0.7705
4,7,122,AZ,112213,0.1423,1
4,3,123,AZ,37528,0.0483,0.3097
4,7,123,AZ,83613,0.1061,0.6901
4,8,123,AZ,25,0,0.0002
4,7,124,AZ,110194,0.1398,0.9599
4,8,124,AZ,4605,0.0055,0.0401
4,6,125,AZ,70629,0.0899,0.6208
4,7,125,AZ,30413,0.0386,0.2673
4,8,125,AZ,11284,0.0135,0.0992
4,9,125,AZ,1448,0.0019,0.0127
4,6,126,AZ,354,0.0005,0.0027
4,8,126,AZ,130806,0.1562,0.9973
4,8,127,AZ,120988,0.1445,1
4,6,128,AZ,60544,0.077,0.5594
4,8,128,AZ,47693,0.057,0.4406
4,4,129,AZ,187,0.0002,0.0013
4,6,129,AZ,32564,0.0414,0.2289
4,8,129,AZ,109501,0.1308,0.7698
4,8,130,AZ,125567,0.15,1
4,8,131,AZ,123745,0.1478,1
4,3,132,AZ,20933,0.0269,0.1417
4,4,132,AZ,13868,0.0172,0.0939
4,8,132,AZ,112895,0.1348,0.7644
4,3,133,AZ,112054,0.1441,0.9195
4,8,133,AZ,9806,0.0117,0.0805
4,1,134,AZ,3575,0.0047,0.0211
4,3,134,AZ,83262,0.1071,0.492
4,4,134,AZ,48961,0.0609,0.2893
4,8,134,AZ,33449,0.04,0.1976
4,2,201,AZ,8378,0.0113,0.0801
4,3,201,AZ,96175,0.1237,0.9199
4,1,202,AZ,52519,0.069,0.4043
4,2,202,AZ,11188,0.015,0.0861
4,3,202,AZ,66210,0.0852,0.5096
4,1,203,AZ,61791,0.0812,0.5146
4,2,203,AZ,58280,0.0783,0.4854
4,1,204,AZ,1717,0.0023,0.0157
4,2,204,AZ,107504,0.1444,0.9843
4,2,205,AZ,135825,0.1824,0.9001
4,3,205,AZ,15067,0.0194,0.0999
4,2,206,AZ,103724,0.1393,1
4,2,207,AZ,76043,0.1021,0.7405
4,3,207,AZ,26649,0.0343,0.2595
4,2,208,AZ,11,0,0.0001
4,3,208,AZ,102947,0.1324,0.9999
4,2,209,AZ,118078,0.1586,0.9888
4,3,209,AZ,1343,0.0017,0.0112
4,1,300,AZ,172738,0.227,1
4,1,400,AZ,144522,0.1899,1
4,4,400,AZ,2,0,0
4,1,500,AZ,32853,0.0432,0.1388
4,4,500,AZ,203924,0.2535,0.8612
4,1,600,AZ,1526,0.002,0.0066
4,4,600,AZ,228298,0.2838,0.9934
4,3,700,AZ,132541,0.1705,0.6501
4,4,700,AZ,71340,0.0887,0.3499
4,1,800,AZ,81976,0.1077,0.7423
4,2,800,AZ,9,0,0.0001
4,4,800,AZ,28453,0.0354,0.2576
4,4,803,AZ,147564,0.1835,1
4,1,805,AZ,63899,0.084,0.5136
4,4,805,AZ,60520,0.0752,0.4864
4,1,807,AZ,143712,0.1889,0.9968
