CountyGEOID,CountyName,CountyNameLSAD
31039,Cuming,Cuming County
53069,Wahkiakum,Wahkiakum County
35011,De Baca,De Baca County
31109,Lancaster,Lancaster County
31129,Nuckolls,Nuckolls County
72085,Las Piedras,Las Piedras Municipio
46099,Minnehaha,Minnehaha County
48327,Menard,Menard County
6091,Sierra,Sierra County
21053,Clinton,Clinton County
39063,Hancock,Hancock County
48189,Hale,Hale County
1027,Clay,Clay County
48011,Armstrong,Armstrong County
39003,Allen,Allen County
13189,McDuffie,McDuffie County
55111,Sauk,Sauk County
5137,Stone,Stone County
41063,Wallowa,Wallowa County
42007,Beaver,Beaver County
28061,Jasper,Jasper County
29083,Henry,Henry County
8109,Saguache,Saguache County
37037,Chatham,Chatham County
49033,Rich,Rich County
40001,Adair,Adair County
39085,Lake,Lake County
51775,Salem,Salem city
51121,Montgomery,Montgomery County
47065,Hamilton,Hamilton County
35035,Otero,Otero County
35003,Catron,Catron County
1091,Marengo,Marengo County
56023,Lincoln,Lincoln County
29011,Barton,Barton County
48057,Calhoun,Calhoun County
51735,Poquoson,Poquoson city
54075,Pocahontas,Pocahontas County
48077,Clay,Clay County
51095,James City,James City County
31101,Keith,Keith County
31137,Phelps,Phelps County
22019,Calcasieu,Calcasieu Parish
22111,Union,Union Parish
40135,Sequoyah,Sequoyah County
1049,DeKalb,DeKalb County
36101,Steuben,Steuben County
42053,Forest,Forest County
22105,Tangipahoa,Tangipahoa Parish
51179,Stafford,Stafford County
26109,Menominee,Menominee County
18073,Jasper,Jasper County
13025,Brantley,Brantley County
13171,Lamar,Lamar County
18151,Steuben,Steuben County
48361,Orange,Orange County
39047,Fayette,Fayette County
25015,Hampshire,Hampshire County
21003,Allen,Allen County
37001,Alamance,Alamance County
20073,Greenwood,Greenwood County
25025,Suffolk,Suffolk County
16051,Jefferson,Jefferson County
48177,Gonzales,Gonzales County
47115,Marion,Marion County
26007,Alpena,Alpena County
21231,Wayne,Wayne County
47185,White,White County
48147,Fannin,Fannin County
20043,Doniphan,Doniphan County
48265,Kerr,Kerr County
12053,Hernando,Hernando County
12129,Wakulla,Wakulla County
12131,Walton,Walton County
28017,Chickasaw,Chickasaw County
2130,Ketchikan Gateway,Ketchikan Gateway Borough
26035,Clare,Clare County
20157,Republic,Republic County
12127,Volusia,Volusia County
40017,Canadian,Canadian County
72115,Quebradillas,Quebradillas Municipio
78030,St. Thomas,St. Thomas Island
13115,Floyd,Floyd County
32001,Churchill,Churchill County
31181,Webster,Webster County
17067,Hancock,Hancock County
46067,Hutchinson,Hutchinson County
41013,Crook,Crook County
50011,Franklin,Franklin County
26103,Marquette,Marquette County
37057,Davidson,Davidson County
17025,Clay,Clay County
29103,Knox,Knox County
29117,Livingston,Livingston County
42117,Tioga,Tioga County
31043,Dakota,Dakota County
26089,Leelanau,Leelanau County
51181,Surry,Surry County
48391,Refugio,Refugio County
39017,Butler,Butler County
13273,Terrell,Terrell County
13063,Clayton,Clayton County
56013,Fremont,Fremont County
18115,Ohio,Ohio County
13073,Columbia,Columbia County
8115,Sedgwick,Sedgwick County
30065,Musselshell,Musselshell County
42043,Dauphin,Dauphin County
46101,Moody,Moody County
54079,Putnam,Putnam County
34037,Sussex,Sussex County
20039,Decatur,Decatur County
18123,Perry,Perry County
