StateFIPS,CongressionalDistrict,PUMA,StateAbbreviation,Population2016,FracCDInPUMA,FracPUMAInCD
1,4,100,AL,93499.455,0.137,0.503
1,5,100,AL,92318,0.129,0.497
1,5,200,AL,187684.124,0.263,1
1,5,301,AL,126793.754,0.178,1
1,5,302,AL,108240.183,0.152,1
1,4,400,AL,71095.908,0.104,0.578
1,5,400,AL,51942.092,0.073,0.422
1,4,500,AL,95157,0.14,0.779
1,5,500,AL,27001.939,0.038,0.221
1,4,600,AL,33244,0.049,0.218
1,5,600,AL,119012,0.167,0.782
1,4,700,AL,106276,0.156,1
1,3,800,AL,88019,0.126,0.604
1,4,800,AL,4924.601,0.007,0.034
1,6,800,AL,52779.399,0.076,0.362
1,4,900,AL,102564,0.15,1
1,3,1000,AL,155140.021,0.222,0.989
1,4,1000,AL,1755.979,0.003,0.011
1,3,1100,AL,114611,0.164,1
1,6,1200,AL,210622,0.302,1
1,6,1301,AL,7.011,0,0
1,7,1301,AL,100987.544,0.149,1
1,6,1302,AL,16490.379,0.024,0.161
1,7,1302,AL,85771.204,0.126,0.839
1,6,1303,AL,158368.333,0.227,0.929
1,7,1303,AL,12049.275,0.018,0.071
1,6,1304,AL,125717.103,0.18,0.719
1,7,1304,AL,49235.76,0.072,0.281
1,6,1305,AL,57196.494,0.082,0.516
1,7,1305,AL,53697.898,0.079,0.484
1,4,1400,AL,117773.545,0.173,1
1,4,1500,AL,38883.414,0.057,0.356
1,7,1500,AL,70408.472,0.104,0.644
1,4,1600,AL,16629.531,0.024,0.142
1,7,1600,AL,100504.583,0.148,0.858
1,6,1700,AL,22643,0.032,0.176
1,7,1700,AL,105669,0.155,0.824
1,3,1800,AL,74570,0.107,0.578
1,6,1800,AL,54522,0.078,0.422
1,3,1900,AL,158991,0.227,1
1,2,2000,AL,126525.225,0.185,0.652
1,3,2000,AL,19038.489,0.027,0.098
1,7,2000,AL,48387.683,0.071,0.249
1,2,2100,AL,154763.331,0.227,0.86
1,3,2100,AL,12396.926,0.018,0.069
1,7,2100,AL,12810.345,0.019,0.071
1,1,2200,AL,84129.559,0.119,0.615
1,2,2200,AL,12395,0.018,0.091
1,7,2200,AL,40255.441,0.059,0.294
1,2,2300,AL,122595,0.18,1
1,2,2400,AL,69613,0.102,0.474
1,3,2400,AL,77135,0.11,0.526
1,2,2500,AL,197060,0.289,1
1,1,2600,AL,208563,0.295,1
1,1,2701,AL,111259.563,0.157,1
1,1,2702,AL,107764.025,0.152,1
1,1,2703,AL,195812.412,0.277,1
2,0,101,AK,135433.32,0.183,1
2,0,102,AK,162758.68,0.219,1
2,0,200,AK,162871,0.22,1
2,0,300,AK,168587,0.227,1
2,0,400,AK,112243.261,0.151,1
4,5,100,AZ,123698.968,0.157,1
4,5,101,AZ,162627.3,0.206,1
4,5,102,AZ,104641.082,0.133,0.718
4,9,102,AZ,41100.342,0.052,0.282
4,9,103,AZ,117927.691,0.149,1
4,5,104,AZ,111411.661,0.141,1
4,5,105,AZ,150333.324,0.19,0.999
