state,StateAbbreviation,StateFIPS,election,year,wave,numresponses,contacted,responserate,OVERALLINTEGRITY,PEIIndexp,PEIIndexp_lci,PEIIndexp_hci,PEIIndexi,PEIIndexi_lci,PEIIndexi_hci,PEIIndex_rank,PEItype,ratingstate,ratingstate_lci,ratingstate_hci,ratingcountry,ratingcountry_lci,ratingcountry_hci,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,familiarity,important,ORGCONFIDENCE,courts,government,parliament,police,electoralauth,BACKGROUND,employment,public,university,nonprofit,agency,private,occupation,agegroup,sex,education,born,lived,rep,candidate,activist,monitor,monitorint,ngo,voted,norole,official,citizen,supported,leftrightscale,partyid,difficulty,VIGNETTES,vignetteA,vignetteB,vignetteC,EXTRA,rigged,rigged2,machinesaccurate,recordssecure,waited,waited2,multiple,multiple2,regrestrictive,regrestrictive2,obsintimidate,obsintimidate2,popularwill,timely,disinformation,disinformation2,hack,hack2,meddle,meddle2,countdispute,countdispute2,illegalvote,illegalvote2,legalcount,votersuppress,votersuppress2,design,candidatethreat,candidatethreat2,sufficient,audit,SUBFIELD,elections,ampol,statepol,comparative,inter,polcomm,theory,publicadmin,publicpol,methods,socio
Alaska,AK,102,USA_06112018_L1,2018,2018,3,20,0.150000005960464,,63.6054420471191,40.4908638000488,86.7200241088867,63.6054420471191,40.4908638000488,86.7200241088867,30,4,8.66666698455811,6.43212699890137,10.9012069702148,7,5.32409477233887,8.67590522766113,,3.33333325386047,2.66666674613953,3,3,2,4,55.5555534362793,55.5555534362793,,3.66666674613953,4,4,4.33333349227905,75,75,,3,3,3,3,3,50,50,,4,2,3.66666674613953,2.33333325386047,3,3,36.1111106872559,36.1111106872559,,2.33333325386047,3.66666674613953,4.66666650772095,4.33333349227905,1.66666662693024,4.33333349227905,1.33333337306976,4.66666650772095,83.3333358764648,83.3333358764648,,3.66666674613953,3.33333325386047,2.66666674613953,3.33333325386047,4,2.33333325386047,55,55,,2.66666674613953,3,3.33333325386047,3.66666674613953,2.33333325386047,3.33333325386047,2.66666674613953,45,45,,1.66666662693024,4.33333349227905,4,2,4.33333349227905,4.66666650772095,4.66666650772095,4.66666650772095,4,1,67.7083358764648,67.7083358764648,,3.66666674613953,4,4,1.66666662693024,4.33333349227905,1.66666662693024,4.33333349227905,76.6666641235352,76.6666641235352,,3,3,3,3,1.33333337306976,4.66666650772095,3.66666674613953,64.5833358764648,64.5833358764648,,3.66666674613953,4.33333349227905,4,3.66666674613953,72.9166641235352,72.9166641235352,,9.33333301544189,2,,7.33333349227905,5.33333349227905,2.5,6.66666650772095,6.33333349227905,,1,0.333333343267441,0.666666686534882,0,0,0.333333343267441,6.33333349227905,3.33333325386047,1.66666662693024,5,0,3.66666674613953,0,0,0,0,0,0,1,0,0,1,2.66666674613953,4,4.66666650772095,9,,7.66666650772095,7.66666650772095,8.66666698455811,,2,4,3.66666674613953,3.66666674613953,3.33333325386047,2.66666674613953,3,3,2.33333325386047,3.66666674613953,2,4,3.66666674613953,4.33333349227905,3.66666674613953,2.33333325386047,3.5,2.5,3,3,3,3,1.33333337306976,4.66666650772095,3.33333325386047,2,4,4.33333349227905,2.66666674613953,3.33333325386047,3.66666674613953,3.66666674613953,,0,0.333333343267441,0.333333343267441,0.666666686534882,0.666666686534882,0,0,0,0.333333343267441,0.333333343267441,0
Alabama,AL,201,USA_06112018_L1,2018,2018,10,35,0.28571429848671,,80.1020431518555,,,60.7244911193848,55.9309577941895,65.5180206298828,42,4,7.30000019073486,6.4327654838562,8.16723442077637,6.19999980926514,4.98120212554932,7.41879749298096,,3.79999995231628,2.20000004768372,4.09999990463257,1.89999997615814,3.29999995231628,2.70000004768372,31.6666660308838,31.6666660308838,,3.79999995231628,3.90000009536743,4.30000019073486,4.19999980926514,76.25,76.25,,4.22222232818604,1.77777779102325,4.55555534362793,1.44444441795349,1.88888883590698,17.5925922393799,18.5416660308838,,3.59999990463257,2.40000009536743,2.59999990463257,3.40000009536743,2.20000004768372,3.79999995231628,72.2222213745117,54.6666679382324,,1.79999995231628,4.19999980926514,3.79999995231628,3.40000009536743,2.66666674613953,3.33333325386047,1.42857146263123,4.57142877578735,73.75,71.1999969482422,,2.5,3.29999995231628,2.70000004768372,3.125,2.90000009536743,3.33333325386047,43.3333320617676,47,,2.66666674613953,2.88888883590698,3.11111116409302,2.90000009536743,3.09999990463257,2.85714292526245,3.14285707473755,58.75,50.125,,1.33333337306976,4.66666650772095,2,4,4,3.09999990463257,2.625,3.33333325386047,3.85714292526245,1.22222220897675,64.5833358764648,60.171875,,4.42857122421265,4.5,4.33333349227905,1.25,4.75,1.39999997615814,4.59999990463257,92.5,83.7750015258789,,1.85714280605316,4.14285707473755,1.44444441795349,4.55555534362793,1.11111116409302,4.88888883590698,4.5,88.75,85.5625,,3.5,3.90000009536743,3.66666674613953,3.79999995231628,68.0555572509766,67.9375,,8,2.40000009536743,,5,3.70000004768372,3.11111116409302,5.59999990463257,5,,1.10000002384186,0.200000002980232,1,0.200000002980232,0,0.100000001490116,6,3,1.20000004768372,5,0.200000002980232,3.5,0,0,0,0,0,0,0.899999976158142,0,0,1,1.70000004768372,3.79999995231628,5.09999990463257,8.88888931274414,,5.19999980926514,4.40000009536743,8.30000019073486,,2.40000009536743,3.59999990463257,4.375,3.625,3.44444441795349,2.55555558204651,1.25,4.75,3.40000009536743,2.59999990463257,1.85714280605316,4.14285707473755,3.33333325386047,4.5,3.75,2.25,2.57142853736877,3.42857146263123,1.79999995231628,4.19999980926514,1.5,4.5,1.25,4.75,4.42857122421265,2.44444441795349,3.55555558204651,4.11111116409302,1.33333337306976,4.66666650772095,4.2857141494751,2.83333325386047,,0.5,0.899999976158142,0.200000002980232,0.200000002980232,0,0,0,0.300000011920929,0.200000002980232,0.5,0
Arkansas,AR,103,USA_06112018_L1,2018,2018,4,20,0.200000002980232,,64.7959213256836,,,61.5943870544434,55.8510665893555,67.3377075195312,38,4,8,8,8,6.5,5.41820812225342,7.58179187774658,,3.66666674613953,2.33333325386047,2.25,3.75,2.75,3.25,55.5555572509766,53.3333320617676,,3.25,2.75,3.75,3.5,57.8125,57.8125,,3.25,2.75,4,2,2.25,33.3333320617676,33.3333320617676,,2.66666674613953,3.33333325386047,2.66666674613953,3.33333325386047,2.33333325386047,3.66666674613953,61.1111106872559,56.25,,1.33333337306976,4.66666650772095,4.5,4.5,2.25,3.75,1.25,4.75,88.3333358764648,84.5,,2.25,2.75,3.25,4.33333349227905,3.5,2,42.5,52.9375,,2,2.25,3,3,3,2.33333325386047,3.66666674613953,40,44.875,,1.75,4.25,2.33333325386047,3.66666674613953,3.75,3.5,3.25,3,3.75,1,58.3333320617676,56.640625,,4.66666650772095,3.75,4.66666650772095,1,5,1.66666662693024,4.33333349227905,95,78.8125,,1.5,4.5,1.33333337306976,4.66666650772095,1.25,4.75,4.33333349227905,91.6666641235352,87.109375,,4,3,3.33333325386047,3.5,60.4166679382324,62.734375,,9,3,,5.25,4.75,3.5,5,5.5,,1,0.25,1,0.25,0,0,6,4,1,4.75,0.5,4.25,0,0,0,0,0,0,1,0,0,1,2.25,4,5.5,9.25,,5.25,7.25,8.25,,1,5,4.25,4.33333349227905,1.66666662693024,4.33333349227905,1.5,4.5,3.25,2.75,1.66666662693024,4.33333349227905,4.5,3.75,3.25,2.75,2.33333325386047,3.66666674613953,1,5,1.5,4.5,1.25,4.75,4.25,1.75,4.25,3.75,1,5,4.33333349227905,3.33333325386047,,0.25,1,0.75,0,0,0.25,0,0.25,0,0,0
Arizona,AZ,202,USA_06112018_L1,2018,2018,7,37,0.189189195632935,,61.7346954345703,59.4494705200195,64.0199203491211,62.1902313232422,56.0963516235352,68.2841110229492,36,4,8,7.2685751914978,8.73142528533936,5.7142858505249,4.31144189834595,7.11712980270386,,4,2,4.2857141494751,1.71428573131561,3.83333325386047,2.16666674613953,23.6111106872559,26.130952835083,,3.42857146263123,3.71428561210632,4.16666650772095,4.59999990463257,73.75,73.6160736083984,,3.66666674613953,2.33333325386047,3.66666674613953,2.33333325386047,2.33333325386047,33.3333320617676,33.6309509277344,,2.5,3.5,2,4,1.25,4.75,77.0833358764648,67.6785736083984,,2.5,3.5,3.42857146263123,3,2.57142853736877,3.42857146263123,1.83333337306976,4.16666650772095,65,62.7142868041992,,3.66666674613953,2.16666674613953,3.83333325386047,2.85714292526245,4.14285707473755,2.66666674613953,58,60.3928565979004,,3.5,2.83333325386047,2.5,3.42857146263123,2.57142853736877,2.66666674613953,3.33333325386047,47.5,49.7142868041992,,1.5,4.5,1.66666662693024,4.33333349227905,3.14285707473755,3.42857146263123,4.42857122421265,4.25,4.40000009536743,1.42857146263123,71.09375,68.2589263916016,,3.83333325386047,3.28571438789368,4.2857141494751,1.5,4.5,1.5,4.5,75,74.3928604125977,,1.71428573131561,4.2857141494751,2,4,1.42857146263123,4.57142877578735,4,81.25,80.1339263916016,,3.71428561210632,4,3.28571438789368,3.71428561210632,66.9642868041992,66.9642868041992,,7.42857122421265,1.42857146263123,,5.57142877578735,5.2857141494751,4.66666650772095,3.71428561210632,5.2857141494751,,1,0.142857149243355,1,0.142857149243355,0,0.142857149243355,6,3.57142853736877,1.57142853736877,5,0,3.42857146263123,0,0,0,0,0,0,0.857142865657806,0.142857149243355,0,1,1.42857146263123,2.14285707473755,7,7,,6.7142858505249,5.7142858505249,8,,1.28571426868439,4.7142858505249,4.2857141494751,4,3.16666674613953,2.83333325386047,1.28571426868439,4.7142858505249,3.28571438789368,2.71428561210632,1.66666662693024,4.33333349227905,4,3.85714292526245,4,2,2.5,3.5,2.28571438789368,3.71428561210632,2,4,1.5,4.5,4.42857122421265,2.71428561210632,3.28571438789368,4,2,4,3.40000009536743,4,,0.571428596973419,0.571428596973419,0.142857149243355,0,0,0.28571429848671,0.142857149243355,0,0.28571429848671,0.571428596973419,0
California,CA,203,USA_06112018_L1,2018,2018,66,444,0.148648649454117,,68.3673477172852,65.6001586914062,71.1345367431641,68.2786712646484,65.9944534301758,70.5628890991211,18,4,8.50769233703613,8.18536853790283,8.83001613616943,5.80000019073486,5.39523077011108,6.20476961135864,,3.33333325386047,2.66666674613953,3.13846158981323,2.86153841018677,2.12903237342834,3.87096762657166,53.6111106872559,53.6300506591797,,4.046875,4.31818199157715,4.42857122421265,4.5238094329834,83.606559753418,83.551139831543,,2.5806450843811,3.4193549156189,2.87301588058472,3.12698411941528,3.40677976608276,58.625732421875,56.7803039550781,,3.27906966209412,2.72093033790588,2.7619047164917,3.2380952835083,2.46511626243591,3.53488373756409,55.8558540344238,56.3383827209473,,2.25423717498779,3.74576282501221,4.06349229812622,3.82539677619934,1.63793098926544,4.36206912994385,1.53571426868439,4.4642858505249,79.4000015258789,77.0303039550781,,3.50793647766113,2.73584914207458,3.26415085792542,3.42105269432068,3.71428561210632,2.37837839126587,52.3333320617676,59.1212120056152,,2.93023252487183,3,3.03571438789368,3.07936501502991,2.92063498497009,2.15789484977722,3.84210515022278,53.0357131958008,55.0984840393066,,1.78947365283966,4.21052646636963,1.92592597007751,4.07407426834106,4.0151515007019,3.8923077583313,4.5151515007019,4.38636350631714,4.33962249755859,1.5,72.5,72.9071960449219,,4.19298267364502,3.40909099578857,4.33333349227905,2.16129040718079,3.83870959281921,1.82926833629608,4.17073154449463,72.2413787841797,76.2196960449219,,2.75438594818115,3.24561405181885,1.87096774578094,4.12903213500977,1.33333337306976,4.66666650772095,4.19672107696533,77.1990737915039,77.4431838989258,,4.06349229812622,4.43076944351196,4.10344839096069,4.09230756759644,79.3859634399414,79.8200759887695,,8.22222232818604,1.96923077106476,,6.87692308425903,5.96923065185547,5.42372894287109,4.5846152305603,6.64615392684937,,1.46969699859619,0.227272734045982,0.984848499298096,0.106060609221458,0,0.136363640427589,5.92424249649048,4,1.33333337306976,5,0.378787875175476,3.9848484992981,0,0.0151515156030655,0,0,0,0,0.89393937587738,0.106060609221458,0,0.984615385532379,1.60606062412262,3.39682531356812,6.33846139907837,8.19696998596191,,6.18181800842285,6.03030300140381,7.4848484992981,,1.43076920509338,4.56923055648804,4.26229524612427,4.34999990463257,3.18867921829224,2.81132078170776,1.60714280605316,4.39285707473755,2.5,3.5,1.98305082321167,4.01694917678833,4.06153869628906,3.484375,3.52727270126343,2.47272729873657,2.781818151474,3.218181848526,2.34042549133301,3.65957450866699,2.5806450843811,3.4193549156189,1.38095235824585,4.61904764175415,4.39285707473755,1.85714280605316,4.14285707473755,3.921875,1.66071426868439,4.3392858505249,4.09523820877075,3.97435903549194,,0.545454561710358,0.60606062412262,0.333333343267441,0.348484843969345,0.212121218442917,0.212121218442917,0.181818187236786,0.0757575780153275,0.257575750350952,0.318181812763214,0.0454545468091965
Colorado,CO,104,USA_06112018_L1,2018,2018,6,55,0.109090909361839,,68.3673477172852,,,71.2585067749023,67.0365600585938,75.4804534912109,11,5,9.5,9.12525653839111,9.87474346160889,6.66666650772095,5.96004295349121,7.37329006195068,,3.66666674613953,2.33333325386047,2.5,3.5,1.66666662693024,4.33333349227905,59.7222213745117,59.7222213745117,,3.83333325386047,4,3.83333325386047,3.83333325386047,71.875,71.875,,2.59999990463257,3.40000009536743,2.79999995231628,3.20000004768372,2.79999995231628,53.3333320617676,52.7083320617676,,2,4,1.79999995231628,4.19999980926514,1.5,4.5,81.25,78.6111145019531,,2,4,3.83333325386047,3.66666674613953,1.66666662693024,4.33333349227905,1.60000002384186,4.40000009536743,76,76.5833358764648,,3.40000009536743,1.75,4.25,3.33333325386047,3.40000009536743,3.33333325386047,60,62.375,,4,3.40000009536743,3.59999990463257,2.66666674613953,3.33333325386047,2,4,66.25,65.9166641235352,,1.83333337306976,4.16666650772095,1.79999995231628,4.19999980926514,3.83333325386047,3.66666674613953,4.16666650772095,3.59999990463257,3.79999995231628,1.66666662693024,55.2083320617676,66.25,,4.33333349227905,4.33333349227905,4.5,2,4,1.75,4.25,82.5,82.7916641235352,,1.39999997615814,4.59999990463257,2.40000009536743,3.59999990463257,1.39999997615814,4.59999990463257,4,79.1666641235352,80.2604141235352,,4.33333349227905,4.5,4.33333349227905,4.5,85.4166641235352,85.4166641235352,,8.83333301544189,2,,7,6.83333349227905,7,6,7.66666650772095,,1.33333337306976,0,1,0,0,0,6,3.83333325386047,1.33333337306976,5,0,3.66666674613953,0,0,0,0,0,0,0.666666686534882,0.333333343267441,0,1,2,3.66666674613953,6.33333349227905,8.5,,5.66666650772095,6.33333349227905,8.33333301544189,,1.5,4.5,4.16666650772095,4.16666650772095,2.25,3.75,1.79999995231628,4.19999980926514,1.83333337306976,4.16666650772095,2,4,3.5,3.66666674613953,2.83333325386047,3.16666674613953,2.59999990463257,3.40000009536743,2.40000009536743,3.59999990463257,2,4,1.5,4.5,3.79999995231628,2.16666674613953,3.83333325386047,4,2.16666674613953,3.83333325386047,4.5,4.5,,0.333333343267441,0.5,0.16666667163372,0.5,0.333333343267441,0.16666667163372,0.16666667163372,0,0.333333343267441,0.333333343267441,0
Connecticut,CT,204,USA_06112018_L1,2018,2018,12,102,0.117647059261799,,72.4489822387695,,,64.7611312866211,56.9228096008301,72.5994567871094,27,4,7.75,6.52739667892456,8.9726037979126,6,4.87576866149902,7.12423133850098,,2.66666674613953,3.33333325386047,2.91666674613953,3.08333325386047,2.58333325386047,3.41666674613953,56.9444427490234,56.9444427490234,,3.5,3.25,4.09090900421143,4.08333349227905,69.3181838989258,68.4895858764648,,2.88888883590698,3.11111116409302,3.5,2.5,2.77777767181396,42.7083320617676,51.1805534362793,,3.83333325386047,2.16666674613953,3.66666674613953,2.33333325386047,2.20000004768372,3.79999995231628,52.7777786254883,55.625,,1.88888883590698,4.11111116409302,4,4,1.90909087657928,4.09090900421143,1.70000004768372,4.30000019073486,84.4444427490234,79.1666641235352,,3.5,3,3,3.16666674613953,3.83333325386047,2.375,46.25,54.8958320617676,,3.40000009536743,2.90909099578857,2.90000009536743,2.91666674613953,3.08333325386047,2.33333325386047,3.66666674613953,62.1428565979004,55.7083320617676,,1.44444441795349,4.55555534362793,2.20000004768372,3.79999995231628,3.33333325386047,3.5,3.54545450210571,3.66666674613953,4,1.39999997615814,64.0625,65.8072891235352,,4.09090900421143,3.72727274894714,4,2,4,1.75,4.25,80,76.4166641235352,,2.45454549789429,3.54545450210571,1.54545450210571,4.45454549789429,1.25,4.75,4.33333349227905,82.1428604125977,83.8541641235352,,3.91666674613953,3.58333325386047,3.77777767181396,3.81818175315857,70.1388854980469,72.0833358764648,,8.18181800842285,2.18181824684143,,6.5,4.66666650772095,3.77777767181396,4,5.25,,1.25,0.16666667163372,1,0.0833333358168602,0.0833333358168602,0.16666667163372,6,4.25,1.41666662693024,5,0.25,3.58333325386047,0,0,0,0,0,0,0.833333313465118,0.16666667163372,0,1,2.08333325386047,3.90909099578857,6.75,7.72727251052856,,6.41666650772095,5.83333349227905,7.33333349227905,,1.66666662693024,4.33333349227905,4.18181800842285,4.09999990463257,3.70000004768372,2.29999995231628,1.77777779102325,4.22222232818604,2.72727274894714,3.27272725105286,1.89999997615814,4.09999990463257,3.36363625526428,3.66666674613953,3.20000004768372,2.79999995231628,2,4,1.33333337306976,4.66666650772095,2.40000009536743,3.59999990463257,1.58333337306976,4.41666650772095,3.81818175315857,2.09999990463257,3.90000009536743,3.83333325386047,1.66666662693024,4.33333349227905,3,3,,0.583333313465118,0.5,0.0833333358168602,0.16666667163372,0.25,0.16666667163372,0.16666667163372,0,0.0833333358168602,0.5,0.16666667163372
District of Columbia,DC,105,USA_06112018_L1,2018,2018,11,139,0.0791366919875145,,,,,72.2831649780273,66.5268783569336,78.0394515991211,8,5,9.09090900421143,8.56313610076904,9.61868190765381,6,5.01498031616211,6.98501968383789,,2.5,3.5,2.40000009536743,3.59999990463257,2.36363625526428,3.63636374473572,64.1666641235352,63.674243927002,,4.09090900421143,4.36363649368286,4.54545450210571,4.63636350631714,85.2272720336914,85.2272720336914,,2,4,2.125,3.875,3.5,69.7916641235352,64.7348480224609,,2.79999995231628,3.20000004768372,2.20000004768372,3.79999995231628,2.25,3.75,62.5,65.8712158203125,,1.90909087657928,4.09090900421143,4.77777767181396,4.77777767181396,2.09090900421143,3.90909099578857,1.33333337306976,4.66666650772095,88.75,85.5,,3.59999990463257,2.44444441795349,3.55555558204651,4.11111116409302,3.70000004768372,2.5,50,63.6818199157715,,3.75,3.66666674613953,3.28571438789368,2.63636374473572,3.36363625526428,2.375,3.625,95,66.5,,1.27272725105286,4.72727251052856,1.63636362552643,4.36363649368286,4.36363649368286,2.36363625526428,4.42857122421265,4.42857122421265,4.42857122421265,1.33333337306976,62.5,71.1647720336914,,4.125,4.27272748947144,4.36363649368286,1.66666662693024,4.33333349227905,1.66666662693024,4.33333349227905,81.25,82.0454559326172,,1.45454549789429,4.54545450210571,1.36363637447357,4.63636350631714,1.20000004768372,4.80000019073486,3.875,85.9375,87.2727279663086,,3.81818175315857,4.36363649368286,4,4.18181800842285,77.5,76.8181838989258,,7.45454549789429,3.27272725105286,,6.36363649368286,5.36363649368286,4.42857122421265,5.63636350631714,7,,1.09090912342072,0.181818187236786,1,0.0909090936183929,0.0909090936183929,0.181818187236786,5.45454549789429,3.54545450210571,1.18181812763214,5,0,3.18181824684143,0,0,0,0,0,0,0.636363625526428,0.272727280855179,0,1,2.45454549789429,3.29999995231628,5.69999980926514,7.40000009536743,,5.45454549789429,5.36363649368286,6.36363649368286,,1.79999995231628,4.19999980926514,4.40000009536743,4.30000019073486,2.875,3.125,1.39999997615814,4.59999990463257,1.5,4.5,1.5,4.5,4.30000019073486,4.19999980926514,2.33333325386047,3.66666674613953,2,4,1.25,4.75,1.89999997615814,4.09999990463257,1.22222220897675,4.77777767181396,4.40000009536743,1.5,4.5,4.33333349227905,1.29999995231628,4.69999980926514,4,4,,0.454545468091965,0.454545468091965,0,0.818181812763214,0.272727280855179,0.363636374473572,0.0909090936183929,0,0.181818187236786,0.272727280855179,0
Delaware,DE,205,USA_06112018_L1,2018,2018,4,31,0.129032254219055,,60.2040824890137,,,69.5471954345703,60.8710975646973,78.2232971191406,15,4,8.75,7.49307107925415,10.0069284439087,6.5,4.75566291809082,8.24433708190918,,3.25,2.75,2.5,3.5,1.75,4.25,62.5,62.5,,4,4.25,4.25,4.5,81.25,81.25,,3,3,3,3,3,50,47.2916679382324,,2.33333325386047,3.66666674613953,2.33333325386047,3.66666674613953,2.33333325386047,3.66666674613953,66.6666641235352,67.2916717529297,,1.5,4.5,4.5,3.5,2.25,3.75,1.75,4.25,77.5,77.5,,3,2.5,3.5,3.5,3.25,2.66666674613953,58.3333320617676,54.4375,,3.5,2.75,3,3.25,2.75,2.25,3.75,42.5,53.875,,1.33333337306976,4.66666650772095,2,4,4.5,3.25,4,3.66666674613953,4.25,2.5,70.8333358764648,71.71875,,4,4.5,4.25,2.33333325386047,3.66666674613953,2.33333325386047,3.66666674613953,73.3333358764648,76.9375,,1.5,4.5,1.5,4.5,1.25,4.75,3.5,78.125,85.078125,,4.25,4.25,4.33333349227905,4.25,83.3333358764648,80.9375,,6,2,,7.75,6.25,7.33333349227905,6.5,6.75,,1,0.5,0.5,0,0,0.5,4.5,4.5,1.25,5,0,3,0,0,0,0,0,0,0.75,0,0.25,1,1.75,3.75,6,8.25,,6,6.5,8.25,,1.5,4.5,4.25,4.25,2,4,2,4,2.66666674613953,3.33333325386047,2,4,4.5,4.5,3.66666674613953,2.33333325386047,2,4,2,4,1.33333337306976,4.66666650772095,1.5,4.5,4,1.5,4.5,4.5,1,5,3,3,,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0
Florida,FL,206,USA_06112018_L1,2018,2018,16,122,0.131147533655167,,50.5102043151855,47.3636932373047,53.6567153930664,55.3045272827148,51.2201614379883,59.3888931274414,50,3,6.5,5.75051259994507,7.24948740005493,6.625,5.80290937423706,7.44709062576294,,3.875,2.125,3.75,2.25,3.75,2.25,30.2083320617676,30.2083320617676,,2.5,3.5,3.26666665077209,4,57.9166679382324,58.28125,,4.0625,1.9375,3.9375,2.0625,2.3125,27.6041660308838,27.6041660308838,,4,2,3.07692313194275,2.92307686805725,2.1538462638855,3.8461537361145,45.4545440673828,50.7291679382324,,1.92857146263123,4.07142877578735,3.93333339691162,3.79999995231628,2.1875,3.8125,1.76923072338104,4.23076915740967,73.461540222168,74.703125,,3.5,2.5,3.5,3.16666674613953,3.625,3.29999995231628,65.625,60.296875,,2.58333325386047,3.06666660308838,2.91666674613953,3.5,2.5,3.27272725105286,2.72727274894714,38.75,45.734375,,2.53846144676208,3.46153855323792,2.5,3.5,3.125,3.875,4.46666669845581,4.09999990463257,4.1538462638855,1.35714280605316,62.5,63.88671875,,3.40000009536743,2.6875,3,2.16666674613953,3.83333325386047,2,4,56.6666679382324,60.5,,4.375,1.625,3.86666655540466,2.13333344459534,1.625,4.375,4.25,52.0833320617676,53.125,,3,3.6875,3.53333330154419,2.625,55,55.3515625,,8.3125,2.6875,,5.125,3.6875,3.73333334922791,4.1875,5,,1.0625,0.125,0.9375,0.125,0,0.125,6,3.75,1.3125,5,0.125,3.875,0,0,0.0625,0,0,0.0625,0.875,0.0625,0,1,1.8125,3.4375,6.0625,7.80000019073486,,6.25,5.4375,6,,2.3125,3.6875,4.07142877578735,3.46153855323792,3.46153855323792,2.53846144676208,1.84615385532379,4.1538462638855,3.5625,2.4375,3.16666674613953,2.83333325386047,2.6875,3,3.73333334922791,2.26666665077209,3.1538462638855,2.8461537361145,2.375,3.625,3.9375,2.0625,1.79999995231628,4.19999980926514,3.0625,3.25,2.75,2.375,2.25,3.75,3.29999995231628,4.4375,,0.375,0.375,0.0625,0.5625,0.3125,0.125,0.0625,0.125,0.1875,0.1875,0.125
