Year,State,BallotsCountedVAP,BallotsCountedVEP,BallotsCounted,VotesHighestOffice,VAP,VEP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2022,United States,0.428,0.462,112030874,112030874,242690810,261673203,0.075,1157707,1145315,340972,2643994,3129152,US
2022,Alabama,0.358,0.373,1424087,1424087,3820009,3977770,0.023,25328,32711,8245,66284,,AL
2022,Alaska,0.478,0.502,267047,267047,531448,558308,0.035,4578,1682,1003,7263,,AK
2022,Arizona,0.446,0.493,2592313,2592313,5257070,5806140,0.079,34997,50333,6887,92217,,AZ
2022,Arkansas,0.388,0.415,914227,914227,2202252,2357190,0.036,15850,27511,25852,69213,,AR
2022,California,0.365,0.429,11146610,11146610,25994715,30542685,0.146,97328,0,0,97328,,CA
2022,Colorado,0.547,0.583,2540666,2540666,4357176,4642930,0.058,14990,0,0,14990,,CO
2022,Connecticut,0.447,0.486,1297811,1297811,2672164,2901604,0.076,9297,0,0,9297,,CT
2022,Delaware,0.399,0.428,325632,325632,761497,815329,0.051,4653,7004,373,12030,,DE
2022,District of Columbia,0.375,0.406,205774,205774,506405,548366,0.077,0,0,0,0,,DC
2022,Florida,0.431,0.481,7796916,7796916,16197278,18100676,0.094,75977,123920,4280,204177,,FL
2022,Georgia,0.469,0.519,3964926,3964926,7644125,8445249,0.059,44796,235589,19447,299832,,GA
2022,Hawaii,0.370,0.405,423443,423443,1046736,1144775,0.082,4097,0,0,4097,,HI
2022,Idaho,0.400,0.426,595350,595350,1397732,1490206,0.040,7996,18918,5967,32881,,ID
2022,Illinois,0.420,0.458,4144125,4144125,9048164,9859786,0.079,28582,0,0,28582,,IL
2022,Indiana,0.356,0.372,1880755,1880755,5061894,5277826,0.036,23458,0,0,23458,,IN
2022,Iowa,0.496,0.519,1230417,1230417,2372595,2482470,0.031,8128,17139,7261,32528,,IA
2022,Kansas,0.448,0.476,1008998,1008998,2121246,2251251,0.047,8477,10953,5428,24858,,KS
2022,Kentucky,0.428,0.448,1502550,1502550,3352567,3512486,0.025,18433,38267,14429,71129,,KY
2022,Louisiana,0.400,0.420,1410466,1410466,3355031,3524363,0.029,26851,19250,21566,67667,,LA
2022,Maine,0.596,0.608,680909,680909,1119461,1143143,0.019,0,0,0,0,,ME
2022,Maryland,0.421,0.458,2031635,2031635,4434258,4823486,0.081,14918,0,0,14918,,MD
2022,Massachusetts,0.444,0.488,2511461,2511461,5141977,5651857,0.089,5993,0,0,5993,,MA
2022,Michigan,0.567,0.589,4500400,4500400,7640677,7933413,0.033,33246,0,0,33246,,MI
2022,Minnesota,0.570,0.604,2526646,2526646,4181894,4434088,0.040,7681,58825,7359,73865,,MN
2022,Mississippi,0.313,0.325,709100,709100,2183828,2263618,0.014,17569,20027,10510,48106,,MS
2022,Missouri,0.478,0.496,2304250,2304250,4642509,4822855,0.023,22890,26737,20729,70356,,MO
2022,Montana,0.523,0.532,468326,468326,879710,895752,0.014,3910,0,0,3910,,MT
2022,Nebraska,0.457,0.484,682716,682716,1409798,1494725,0.047,5071,7903,1156,14130,,NE
2022,Nevada,0.409,0.458,1023617,1023617,2232999,2502244,0.103,10455,0,0,10455,,NV
2022,New Hampshire,0.547,0.563,626931,626931,1113547,1145537,0.026,2158,0,0,2158,,NH
2022,New Jersey,0.364,0.410,2645539,2645539,6447094,7275453,0.112,11896,0,0,11896,,NJ
2022,New Mexico,0.431,0.463,714754,714754,1542457,1657556,0.060,5377,8061,2725,16163,,NM
2022,New York,0.380,0.425,5962278,5962278,14026187,15676287,0.103,32574,0,0,32574,,NY
2022,North Carolina,0.448,0.475,3790202,3790202,7972970,8455572,0.054,28406,0,0,28406,,NC
2022,North Dakota,0.405,0.417,242566,242566,581570,598899,0.027,1384,0,0,1384,,ND
2022,Ohio,0.457,0.471,4201368,4201368,8921202,9199881,0.025,44608,0,0,44608,,OH
2022,Oklahoma,0.374,0.396,1153284,1153284,2913333,3080502,0.041,22071,15889,2237,40197,,OK
2022,Oregon,0.586,0.623,1997689,1997689,3208133,3409264,0.055,12753,0,0,12753,,OR
2022,Pennsylvania,0.522,0.544,5410022,5410022,9953327,10366708,0.036,38938,0,0,38938,,PA
2022,Rhode Island,0.406,0.436,361449,361449,828495,890835,0.067,2227,0,0,2227,,RI
