Year,State Abbreviation,Electors
2012,AL,9
2012,AK,3
2012,AZ,11
2012,AR,6
2012,CA,55
2012,CO,9
2012,CT,7
2012,DE,3
2012,DC,3
2012,FL,29
2012,GA,16
2012,HI,4
2012,ID,4
2012,IL,20
2012,IN,11
2012,IA,6
2012,KS,6
2012,KY,8
2012,LA,8
2012,MA,11
2012,ME,4
2012,MD,10
2012,MI,16
2012,MN,10
2012,MS,6
2012,MO,10
2012,MT,3
2012,NE,5
2012,NV,6
2012,NH,4
2012,NJ,14
2012,NM,5
2012,NY,29
2012,NC,15
2012,ND,3
2012,OH,18
2012,OK,7
2012,OR,7
2012,PA,20
2012,RI,4
2012,SC,9
2012,SD,3
2012,TN,11
2012,TX,38
2012,UT,6
2012,VT,3
2012,VA,13
2012,WA,12
2012,WV,5
2012,WI,10
2012,WY,3
2016,AL,9
2016,AK,3
2016,AZ,11
2016,AR,6
2016,CA,55
2016,CO,9
2016,CT,7
2016,DE,3
2016,DC,3
2016,FL,29
2016,GA,16
2016,HI,4
2016,ID,4
2016,IL,20
2016,IN,11
2016,IA,6
2016,KS,6
2016,KY,8
2016,LA,8
2016,MA,11
2016,ME,4
2016,MD,10
2016,MI,16
2016,MN,10
2016,MS,6
2016,MO,10
2016,MT,3
2016,NE,5
2016,NV,6
2016,NH,4
2016,NJ,14
2016,NM,5
2016,NY,29
2016,NC,15
2016,ND,3
2016,OH,18
2016,OK,7
2016,OR,7
2016,PA,20
2016,RI,4
2016,SC,9
2016,SD,3
2016,TN,11
2016,TX,38
2016,UT,6
2016,VT,3
2016,VA,13
2016,WA,12
2016,WV,5
2016,WI,10
2016,WY,3
2020,AL,9
2020,AK,3
2020,AZ,11
2020,AR,6
2020,CA,55
2020,CO,9
2020,CT,7
2020,DE,3
2020,DC,3
2020,FL,29
2020,GA,16
2020,HI,4
2020,ID,4
2020,IL,20
2020,IN,11
2020,IA,6
2020,KS,6
2020,KY,8
2020,LA,8
2020,MA,11
2020,ME,4
2020,MD,10
2020,MI,16
2020,MN,10
2020,MS,6
2020,MO,10
2020,MT,3
2020,NE,5
2020,NV,6
2020,NH,4
2020,NJ,14
2020,NM,5
2020,NY,29
2020,NC,15
2020,ND,3
2020,OH,18
2020,OK,7
2020,OR,7
2020,PA,20
2020,RI,4
2020,SC,9
2020,SD,3
2020,TN,11
2020,TX,38
2020,UT,6
2020,VT,3
2020,VA,13
2020,WA,12
2020,WV,5
2020,WI,10
2020,WY,3
